log_id,timestamp,hostname,src_ip,dst_ip,src_port,dst_port,protocol,action,bytes_sent,bytes_received,session_id,threat_flag,rule_name,geo_country
FW000002394,2026-09-06 11:22:07+00:00,LPT-11180,Unknown,Unknown,25,443,TCP,ALLOW,727539.0,24526192.64,Unknown,False,Unknown,United States
FW000010469,2026-09-03 07:11:28+00:00,LPT-12202,Unknown,Unknown,8080,25,TCP,DENY,31543169.0,20792470.0,sid191825,False,block_tor_exit,China
FW000014783,2026-08-13 17:11:00+00:00,VDR-12618,192.168.39.124,Unknown,443,135,UDP,ALLOW,23607256.0,20374317.0,SID963012,True,UNKNOWN,unknown
FW000020363,Unknown,VDR-11201,156.204.122.36,Unknown,8443,443,UDP,DENY,24819643.22,40629470.0,SID910746,False,Unknown,unknown
FW000001711,2026-08-25 08:26:06+00:00,LPT-11882,145.73.181.9,Unknown,3389,8080,UDP,ALLOW,43682143.0,2159125.0,SID714372,False,DENY_TELNET,Russia
FW000006743,2026-09-05 22:06:16+00:00,WS-12120,Unknown,192.168.55.8,22,8443,TCP,ALLOW,26306691.0,13482874.0,sid982658,False,allow_office_apps,RU
FW000013362,2026-08-09 00:07:00+00:00,WS-10408,192.168.81.155,Unknown,443,443,TCP,DENY,46733971.0,40723164.0,Unknown,False,Unknown,IN
FW000012537,2026-08-21 04:35:00+00:00,Unknown,Unknown,183.114.107.123,8443,443,TCP,ALLOW,24819643.22,12075054.0,Unknown,False,MONITOR_DB_ACCESS,United States
FW000013677,2026-08-09 10:12:18+00:00,VDR-11508,192.168.133.133,Unknown,445,8080,TCP,ALLOW,35366491.0,21521981.0,SID605740,False,allow_office_apps,Unknown
FW000028164,2026-08-15 10:08:00+00:00,WS-12879,67.230.146.16,Unknown,443,135,TCP,ALLOW,39736811.52,16679948.0,SID865676,False,allow_office_apps,China
FW000018439,2026-08-20 14:13:49+00:00,WS-11108,123.248.215.152,Unknown,8443,443,TCP,ALLOW,39606947.0,45749370.88,SID816338,False,MONITOR_DB_ACCESS,United States
FW000005116,2026-08-08 12:40:00+00:00,Unknown,Unknown,143.230.236.92,3389,3389,TCP,ALLOW,35549756.0,26804.0,SID209067,False,UNKNOWN,CN
FW000012406,2026-08-17 20:22:19+00:00,ws-11953,192.168.139.226,Unknown,8080,443,TCP,ALLOW,24819643.22,17088650.0,SID989548,False,ALLOW_INTERNAL_DNS,United States
FW000027859,Unknown,WS-11372,Unknown,Unknown,8080,25,UDP,DENY,24819643.22,8848228.0,SID321081,False,block_tor_exit,Unknown
FW000002141,2026-09-09 00:00:00+00:00,VDR-10638.corp.local,Unknown,Unknown,443,135,TCP,ALLOW,24819643.22,38577111.04,SID195136,False,UNKNOWN,China
FW000013089,2026-08-23 03:54:00+00:00,VDR-10165,Unknown,122.161.65.162,443,443,TCP,DENY,24819643.22,33603939.0,SID707651,False,ALLOW_WEB,Unknown
FW000010655,Unknown,LPT_11191,10.162.144.0,Unknown,8443,443,UDP,DENY,20588901.0,21425754.0,SID903924,False,UNKNOWN,IN
FW000007354,Unknown,Unknown,61.27.27.235,Unknown,443,80,TCP,DENY,12863477.0,24526192.64,SID598053,True,DENY_TELNET,Russia
FW000026490,2026-08-04 03:23:15+00:00,VDR-10498,105.145.224.169,192.168.70.44,8443,80,TCP,DENY,36857446.4,24526192.64,SID320757,False,ALLOW_INTERNAL_DNS,Unknown
FW000007603,2026-08-23 00:00:00+00:00,VDR_12480,182.140.176.178,103.61.182.141,443,8443,TCP,DENY,29951357.0,18098013.0,SID531430,False,block_tor_exit,CN
FW000019396,2026-08-20 21:31:00+00:00,VDR-11494,Unknown,Unknown,25,443,TCP,ALLOW,37060184.0,15493314.56,Unknown,False,Unknown,unknown
FW000024924,2026-09-08 01:05:04+00:00,VDR-11999,192.168.217.6,Unknown,25,22,UDP,DENY,24819643.22,6823662.0,SID122442,False,ALLOW_WEB,China
FW000017708,2026-08-18 07:12:08+00:00,VDR-12823,192.168.36.176,172.16.164.62,443,25,TCP,DENY,13767894.0,35959647.0,SID398629,False,Unknown,China
FW000022559,2026-08-16 11:11:41+00:00,LPT-10414,Unknown,Unknown,3306,80,UDP,ALLOW,13084174.0,24526192.64,SID-878412,False,ALLOW_WEB,Unknown
FW000027566,Unknown,VDR-10489,192.168.245.10,192.168.67.145,3389,80,TCP,ALLOW,31374454.0,42624614.4,SID595221,False,ALLOW_INTERNAL_DNS,Russia
FW000019422,2026-08-07 10:38:53+00:00,ws-12913,Unknown,172.16.48.60,443,443,UDP,ALLOW,6477884.0,29134564.0,SID390749,False,BLOCK_EXTERNAL_RDP,Unknown
FW000005219,Unknown,LPT-12575,192.168.51.100,172.16.75.59,3389,22,TCP,ALLOW,24819643.22,10802819.0,SID768286,False,MONITOR_DB_ACCESS,Unknown
FW000012543,2026-08-02 10:44:07+00:00,LPT-12597,172.16.31.14,216.109.203.198,22,443,TCP,DENY,1705068.0,3019487.0,SID633485,False,block_tor_exit,India
FW000007556,2026-08-19 09:27:00+00:00,VDR-12465,Unknown,172.16.3.126,443,443,UDP,ALLOW,31530947.0,28341918.0,SID621222,False,ALLOW_INTERNAL_DNS,Unknown
FW000006836,Unknown,ws-11442,Unknown,172.16.12.70,8443,3389,UDP,DENY,17008932.0,34016110.0,SID110302,False,block_tor_exit,India
FW000016821,2026-09-09 07:45:00+00:00,vdr-11091,Unknown,Unknown,443,3306,TCP,ALLOW,37980436.48,34197716.0,sid119564,False,DENY_TELNET,unknown
FW000009483,2026-08-20 00:00:00+00:00,vdr-10740,172.16.176.126,192.168.176.87,443,443,TCP,ALLOW,22124953.6,32180153.0,SID154338,False,ALLOW_WEB,IN
FW000014844,2026-08-16 00:00:00+00:00,Unknown,172.16.235.56,101.145.78.155,443,3306,UDP,ALLOW,45648625.0,11026557.0,SID999774,False,Unknown,United States
FW000016637,2026-08-08 17:13:46+00:00,Unknown,172.16.242.164,Unknown,3306,443,TCP,ALLOW,40279097.0,24526192.64,SID581567,False,UNKNOWN,IN
FW000010002,2026-08-23 19:12:26+00:00,VDR-10278,Unknown,Unknown,53,445,ICMP,ALLOW,40863006.72,263790.0,SID361728,False,ALLOW_WEB,CN
FW000012103,2026-08-27 23:06:00+00:00,LPT-12231,Unknown,Unknown,443,443,UDP,ALLOW,4510732.0,31653496.0,SID522198,False,Unknown,ind
FW000023762,Unknown,WS-12902,Unknown,189.72.46.97,443,445,TCP,ALLOW,18419230.72,8562954.24,SID821602,False,UNKNOWN,RU
FW000010243,2026-09-08 12:43:01+00:00,VDR_10735,Unknown,Unknown,443,445,UDP,ALLOW,24819643.22,45643710.0,Unknown,False,ALLOW_INTERNAL_DNS,CN
FW000016419,2026-06-09 00:00:00+00:00,LPT-11138,Unknown,Unknown,8080,443,ICMP,ALLOW,24819643.22,26318973.0,SID944709,False,Unknown,Unknown
FW000016085,2026-08-22 00:00:00+00:00,WS_10878,Unknown,Unknown,445,3306,TCP,DENY,47895087.0,24526192.64,SID901254,False,Unknown,Unknown
FW000002010,2026-09-02 02:27:59+00:00,VDR-10222,172.16.10.213,Unknown,22,3306,TCP,ALLOW,46422639.0,8455991.0,SID-493161,False,MONITOR_DB_ACCESS,Unknown
FW000018098,2026-08-12 13:59:29+00:00,VDR-11927,Unknown,Unknown,443,3389,TCP,ALLOW,24819643.22,24526192.64,Unknown,False,Unknown,China
FW000024231,Unknown,WS-10036,172.16.81.226,22.45.33.226,3306,8080,UDP,ALLOW,1119535.0,24526192.64,SID826123,False,Unknown,CN
FW000029944,2026-08-14 05:53:13+00:00,vdr-10035,Unknown,10.2.124.0,3306,22,UDP,ALLOW,24819643.22,26572596.0,SID212194,False,DENY_TELNET,RU
FW000027337,Unknown,VDR_12513,10.53.34.0,Unknown,443,22,TCP,ALLOW,24819643.22,40903083.0,SID993036,False,MONITOR_DB_ACCESS,Unknown
FW000017809,2026-12-08 21:26:00+00:00,VDR-10611.corp.local,137.144.198.79,Unknown,443,3389,TCP,ALLOW,28432888.0,24526192.64,SID535128,False,ALLOW_INTERNAL_DNS,Unknown
FW000023405,2026-08-21 18:32:52+00:00,WS-11108,172.16.232.92,207.142.86.138,135,25,TCP,ALLOW,684738.56,24526192.64,Unknown,True,allow_office_apps,CN
