event_id,timestamp,user_id,username,department,event_type,auth_method,source_ip,hostname,device_id,session_id,mfa_passed,failure_reason,risk_score,geo_location
IAM00008974,2026-05-09 12:43:00,EMP11889,atharv.shukla79,Compliance,login_success,otp,Unknown,VDR-11889,DEV48365,SID120652,True,Not Applicable,78.0,PB
IAM00017969,2026-09-09 01:56:18,EMP10918,isha.vyas39,Operations,login_failed,Biometric,Unknown,WS-10918,DEV79178,Unknown,False,MFA failed,78.0,Maharashtra
IAM00015700,2026-04-09 04:04:00,EMP10629,ojasvi.majumdar45,Operations,login_failed,Certificate,Unknown,WS-10629,Unknown,Unknown,True,Unknown,80.0,remote
IAM00016756,2026-09-09 00:00:00,EMP10271,widisha.nagy75,Legal,other,MFA,Unknown,LPT-10271,DEV53236,Unknown,False,Not Applicable,78.0,Punjab
IAM00009357,2026-08-03 00:01:59,EMP10122,OSHA.CHAKRABORTY87,Legal,login_failed,otp,Unknown,LPT-10122,DEV61717,Unknown,False,Unknown,32.0,remote
IAM00014775,2026-08-26 21:29:16,EMP12961,chatura.char56,Operations,login_success,MFA,31.131.170.195,LPT-12961,DEV98510,Unknown,True,Not Applicable,50.0,ind
IAM00004189,2026-10-08 00:00:00,EMP10289,jonathan.narayanan92,Human Resources,login_success,Certificate,20.56.54.159,LPT-10289,DEV59807,SID754956,True,Not Applicable,15.0,PB
IAM00016161,2026-08-18 20:34:50,EMP12196,vedika.loke72,Sales,other,Biometric,Unknown,LPT-12196,Unknown,Unknown,True,Not Applicable,94.0,ind
IAM00013358,2026-08-06 13:55:03,EMP12764,urmi.dey32,Unknown,login_failed,MFA,Unknown,Unknown,DEV62437,Unknown,True,MFA failed,56.0,Unknown
IAM00006152,2026-08-22 00:00:00,EMP11251,amrita.balakrishnan89,Supply Chain,login_failed,Password,Unknown,VDR-11251,DEV32326,SID567692,False,Unknown,91.0,India
IAM00007817,2026-08-13 10:49:00,EMP11436,christopher.sarna67,R&D,login_failed,Password,Unknown,VDR-11436,DEV60551,SID659017,False,expired password,50.0,Unknown
IAM00019438,2026-09-01 21:04:48,EMP10912,mohammed.devan20,Operations,login_failed,Biometric,Unknown,LPT-10912,DEV26119,Unknown,False,OTP expired,48.0,Maharashtra
IAM00019877,2026-08-15 11:40:14,EMP11632,wridesh.thakur86,Marketing,login_failed,otp,36.141.191.113,VDR-11632,DEV92076,Unknown,False,account locked,50.0,Unknown
IAM00010429,2026-05-09 00:00:00,EMP12973,MANYA.CHAKRABARTI30,Operations,login_success,SSO,172.16.118.90,LPT-12973,DEV53857,SID662830,True,Not Applicable,79.0,PB
IAM00019043,2026-09-05 07:18:17,EMP12622,bimala.kuruvilla18,Sales,login_failed,Password,107.242.96.202,LPT-12622,DEV25930,Unknown,False,expired password,45.0,Unknown
IAM00012228,2026-01-09 20:44:00,EMP12505,radhika.bath93,Procurement,other,Biometric,85.253.27.160,LPT-12505,DEV68365,Unknown,False,Not Applicable,46.0,Maharashtra
