user_id,username,assigned_cluster,cluster_label,drift_distance,drift_score,drift_confidence,drift_category,cluster_changed
EMP12741,omkaar.chana52,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,3.0934,46.4,0.7637,MODERATE_DRIFT,False
EMP11307,ethan.narasimhan97,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.6279,24.42,0.86,MODERATE_DRIFT,False
EMP11601,ethan.choudhry47,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,2.3566,35.35,0.8093,MODERATE_DRIFT,False
EMP12621,vedant_panchal60,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,1.2579,18.87,0.8883,STABLE,False
EMP12029,gayathri.mohanty65,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,2.1118,31.68,0.8256,MODERATE_DRIFT,False
EMP11950,garima.chaudhary44,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,2.5654,38.48,0.7958,MODERATE_DRIFT,False
EMP12718,vrishti.dewan18,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.8868,28.3,0.8413,MODERATE_DRIFT,False
EMP10184,Unknown,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,2.1049,31.57,0.8261,MODERATE_DRIFT,False
EMP12400,peter.sama77,CLUSTER_2,IRREGULAR_AUTHENTICATION_BEHAVIOR,2.0185,30.28,0.8321,MODERATE_DRIFT,False
EMP10194,ayush.dua87,CLUSTER_3,SECURITY_SENSITIVE_OUTLIERS,2.4635,36.95,0.8023,MODERATE_DRIFT,False
EMP12798,abhimanyu.trivedi4,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,2.0843,31.26,0.8275,MODERATE_DRIFT,False
EMP11195,christopher.toor37,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,1.8131,27.2,0.8465,MODERATE_DRIFT,False
EMP11406,urishilla.bhatt88,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,1.4813,22.22,0.871,MODERATE_DRIFT,False
EMP10314,girindra.dhaliwal46,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,2.1708,32.56,0.8216,MODERATE_DRIFT,False
EMP10102,gaurangi.samra66,CLUSTER_1,NORMAL_BUSINESS_ACTIVITY,1.9279,28.92,0.8384,MODERATE_DRIFT,False
EMP11437,waida.anand56,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,0.956,14.34,0.9127,STABLE,False
EMP12959,libni.lala75,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,1.1521,17.28,0.8967,STABLE,False
EMP11221,qabil.lanka74,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,0.9828,14.74,0.9105,STABLE,False
EMP12935,abha.naik17,CLUSTER_0,IRREGULAR_AUTHENTICATION_BEHAVIOR,2.0045,30.07,0.833,MODERATE_DRIFT,False
