event_id,event_timestamp,event_type,event_category,user_id,hostname,device_id,session_id,source_ip,destination_ip,department,severity,action,source_dataset,source_record_id,data_quality_status,resolution_confidence
IAM00008974,2026-05-09 12:43:00,login_success,AUTHENTICATION,EMP11889,VDR-11889,DEV48365,SID120652,Unknown,Unknown,Compliance,High,LOGIN_SUCCESS,IAM,IAM00008974,UNKNOWN,EXACT
IAM00017969,2026-09-09 01:56:18,login_failed,AUTHENTICATION,EMP10918,WS-10918,DEV79178,Unknown,Unknown,Unknown,Operations,High,LOGIN_FAILED,IAM,IAM00017969,UNKNOWN,EXACT
IAM00015700,2026-04-09 04:04:00,login_failed,AUTHENTICATION,EMP10629,WS-10629,Unknown,Unknown,Unknown,Unknown,Operations,High,LOGIN_FAILED,IAM,IAM00015700,UNKNOWN,EXACT
IAM00016756,2026-09-09 00:00:00,other,AUTHENTICATION,EMP10271,LPT-10271,DEV53236,Unknown,Unknown,Unknown,Legal,High,OTHER,IAM,IAM00016756,UNKNOWN,EXACT
IAM00009357,2026-08-03 00:01:59,login_failed,AUTHENTICATION,EMP10122,LPT-10122,DEV61717,Unknown,Unknown,Unknown,Legal,Medium,LOGIN_FAILED,IAM,IAM00009357,UNKNOWN,EXACT
IAM00014775,2026-08-26 21:29:16,login_success,AUTHENTICATION,EMP12961,LPT-12961,DEV98510,Unknown,31.131.170.195,Unknown,Operations,Info,LOGIN_SUCCESS,IAM,IAM00014775,IMPUTED,EXACT
IAM00004189,2026-10-08 00:00:00,login_success,AUTHENTICATION,EMP10289,LPT-10289,DEV59807,SID754956,20.56.54.159,Unknown,Human Resources,Low,LOGIN_SUCCESS,IAM,IAM00004189,VALID,EXACT
IAM00016161,2026-08-18 20:34:50,other,AUTHENTICATION,EMP12196,LPT-12196,Unknown,Unknown,Unknown,Unknown,Sales,High,OTHER,IAM,IAM00016161,UNKNOWN,EXACT
IAM00013358,2026-08-06 13:55:03,login_failed,AUTHENTICATION,EMP12764,Unknown,DEV62437,Unknown,Unknown,Unknown,Unknown,Medium,LOGIN_FAILED,IAM,IAM00013358,UNKNOWN,EXACT
IAM00006152,2026-08-22 00:00:00,login_failed,AUTHENTICATION,EMP11251,VDR-11251,DEV32326,SID567692,Unknown,Unknown,Supply Chain,High,LOGIN_FAILED,IAM,IAM00006152,UNKNOWN,EXACT
IAM00007817,2026-08-13 10:49:00,login_failed,AUTHENTICATION,EMP11436,VDR-11436,DEV60551,SID659017,Unknown,Unknown,R&D,Info,LOGIN_FAILED,IAM,IAM00007817,UNKNOWN,EXACT
IAM00019438,2026-09-01 21:04:48,login_failed,AUTHENTICATION,EMP10912,LPT-10912,DEV26119,Unknown,Unknown,Unknown,Operations,Medium,LOGIN_FAILED,IAM,IAM00019438,UNKNOWN,EXACT
IAM00019877,2026-08-15 11:40:14,login_failed,AUTHENTICATION,EMP11632,VDR-11632,DEV92076,Unknown,36.141.191.113,Unknown,Marketing,Info,LOGIN_FAILED,IAM,IAM00019877,IMPUTED,EXACT
IAM00010429,2026-05-09 00:00:00,login_success,AUTHENTICATION,EMP12973,LPT-12973,DEV53857,SID662830,172.16.118.90,Unknown,Operations,High,LOGIN_SUCCESS,IAM,IAM00010429,REPAIRED,EXACT
IAM00019043,2026-09-05 07:18:17,login_failed,AUTHENTICATION,EMP12622,LPT-12622,DEV25930,Unknown,107.242.96.202,Unknown,Sales,Medium,LOGIN_FAILED,IAM,IAM00019043,VALID,EXACT
IAM00012228,2026-01-09 20:44:00,other,AUTHENTICATION,EMP12505,LPT-12505,DEV68365,Unknown,85.253.27.160,Unknown,Procurement,Medium,OTHER,IAM,IAM00012228,REPAIRED,EXACT
IAM00018081,2026-08-04 08:56:32,login_success,AUTHENTICATION,EMP12175,WS-12175,DEV44487,SID494071,Unknown,Unknown,Unknown,High,LOGIN_SUCCESS,IAM,IAM00018081,UNKNOWN,EXACT
IAM00015178,2026-09-06 21:47:12,login_failed,AUTHENTICATION,EMP12704,LPT-12704,DEV49043,Unknown,172.16.82.192,Unknown,Procurement,Medium,LOGIN_FAILED,IAM,IAM00015178,REPAIRED,EXACT
IAM00001123,2026-08-26 19:16:45,login_failed,AUTHENTICATION,EMP10486,WS-10486,DEV48479,SID505840,192.168.75.75,Unknown,Unknown,High,LOGIN_FAILED,IAM,IAM00001123,VALID,EXACT
IAM00008713,Unknown,login_success,AUTHENTICATION,EMP10726,Unknown,DEV72670,Unknown,142.16.111.169,Unknown,IT,Info,LOGIN_SUCCESS,IAM,IAM00008713,UNKNOWN,EXACT
IAM00007968,2026-08-13 08:36:28,login_failed,AUTHENTICATION,EMP12197,LPT-12197,Unknown,SID184227,172.16.58.169,Unknown,Human Resources,High,LOGIN_FAILED,IAM,IAM00007968,VALID,EXACT
IAM00000908,2026-08-31 18:20:13,login_failed,AUTHENTICATION,EMP12144,LPT-12144,DEV10044,SID243770,Unknown,Unknown,Brand,Low,LOGIN_FAILED,IAM,IAM00000908,UNKNOWN,EXACT
IAM00013125,Unknown,other,AUTHENTICATION,EMP12056,LPT-12056,DEV99390,Unknown,Unknown,Unknown,Legal,Low,OTHER,IAM,IAM00013125,UNKNOWN,EXACT
