hostname,total_firewall_logs,firewall_denies,threat_flags,endpoint_alerts,is_managed
vdr-11375,1.0,0.0,0.0,0.0,False
ws-12406,1.0,1.0,0.0,0.0,False
WS_12242,1.0,0.0,0.0,0.0,False
WS-10649,5.0,1.0,0.0,1.0,True
WS-12736,9.0,2.0,2.0,5.0,True
lpt-12211,2.0,0.0,0.0,0.0,False
WS-10184.corp.local,1.0,0.0,1.0,0.0,False
LPT_10752,1.0,1.0,0.0,0.0,False
WS-12760.corp.local,1.0,0.0,0.0,0.0,False
WS_10400,1.0,1.0,1.0,0.0,False
WS-10487.corp.local,1.0,0.0,0.0,0.0,False
LPT_10612,1.0,1.0,0.0,0.0,False
LPT-12852,5.0,2.0,0.0,4.0,True
LPT-10327,6.0,0.0,0.0,3.0,True
WS-10572.corp.local,1.0,0.0,0.0,0.0,False
LPT_12985,1.0,0.0,0.0,0.0,False
VDR_12865,1.0,0.0,0.0,0.0,False
WS-11851,9.0,4.0,1.0,3.0,True
lpt-11133,2.0,0.0,0.0,0.0,False
LPT-12643,5.0,2.0,0.0,0.0,False
VDR-10816.,0.0,0.0,0.0,0.0,True
WS_11006,2.0,1.0,0.0,0.0,False
vdr-11600,3.0,0.0,0.0,0.0,False
lpt-12517,1.0,0.0,0.0,0.0,False
VDR-11774.corp.local,1.0,0.0,0.0,0.0,False
lpt-10822,2.0,0.0,0.0,0.0,False
ws-12914,1.0,0.0,0.0,0.0,False
WS_11885,1.0,0.0,0.0,0.0,False
LPT_10084,1.0,0.0,0.0,0.0,False
vdr-12749,2.0,1.0,0.0,0.0,False
ws-12496,2.0,1.0,1.0,0.0,False
VDR_12624,2.0,0.0,0.0,0.0,False
VDR-10314,4.0,1.0,0.0,4.0,True
LPT-11662.corp.local,1.0,0.0,0.0,0.0,False
WS_10430,1.0,0.0,0.0,0.0,False
vdr-10029,1.0,0.0,0.0,0.0,False
LPT-11661,7.0,1.0,0.0,2.0,True
WS-11135,4.0,1.0,0.0,1.0,True
lpt-12838,1.0,0.0,0.0,0.0,False
lpt-12937,3.0,0.0,0.0,0.0,False
VDR-10270.corp.local,1.0,0.0,0.0,0.0,False
VDR-12893,12.0,3.0,2.0,3.0,True
lpt-10734,3.0,0.0,0.0,0.0,False
WS_12390,1.0,0.0,0.0,0.0,False
LPT_10262,1.0,0.0,1.0,0.0,False
vdr-10656,3.0,0.0,1.0,0.0,False
WS-10332.corp.local,2.0,1.0,1.0,0.0,False
lpt-12428,1.0,0.0,0.0,0.0,False
ws-11135,3.0,1.0,1.0,0.0,False
VDR-10466.corp.local,1.0,0.0,0.0,0.0,False
LPT-11519,3.0,0.0,0.0,3.0,False
vdr-12922,2.0,0.0,0.0,0.0,False
VDR-12198.corp.local,1.0,0.0,0.0,0.0,False
LPT_11574,2.0,0.0,0.0,0.0,False
WS_10962,1.0,0.0,0.0,0.0,False
WS-12165.corp.local,1.0,0.0,0.0,0.0,False
LPT_12852,1.0,0.0,0.0,0.0,False
VDR-10077,8.0,2.0,1.0,2.0,True
LPT-12186.corp.local,2.0,2.0,0.0,0.0,False
ws-12822,1.0,0.0,0.0,0.0,False
WS-11570,5.0,0.0,0.0,0.0,False
LPT_12961,2.0,0.0,1.0,0.0,False
LPT-12644,4.0,2.0,0.0,3.0,True
LPT_12110,1.0,1.0,0.0,0.0,False
WS-10448.corp.local,3.0,0.0,0.0,0.0,False
LPT_12920,1.0,0.0,0.0,0.0,False
LPT-11640,7.0,1.0,1.0,0.0,True
VDR_12325,2.0,0.0,0.0,0.0,False
LPT_10981,3.0,1.0,0.0,0.0,False
ws-10307,3.0,0.0,0.0,0.0,False
VDR_11858,1.0,1.0,1.0,0.0,False
VDR-10056,4.0,0.0,1.0,2.0,True
VDR_12869,1.0,0.0,0.0,0.0,False
lpt-12259,2.0,0.0,1.0,0.0,False
VDR_11283,1.0,0.0,0.0,0.0,False
LPT-12298.corp.local,1.0,0.0,1.0,0.0,False
VDR-12191,10.0,2.0,2.0,4.0,True
VDR_11556,1.0,0.0,0.0,0.0,False
LPT-12685.corp.local,1.0,0.0,0.0,0.0,False
WS_12589,1.0,0.0,1.0,0.0,False
VDR-12841,12.0,3.0,2.0,1.0,True
vdr-12087,1.0,0.0,0.0,0.0,False
VDR-12436,11.0,1.0,1.0,2.0,True
VDR-12074,11.0,2.0,0.0,1.0,True
