source_node,source_type,relationship,target_node,target_type,confidence,provenance
EMP12741,USER,OWN_DEVICE,LPT-12741,HOST,EXACT,Identity_Master
EMP11307,USER,OWN_DEVICE,VDR-11307.,HOST,EXACT,Identity_Master
EMP11601,USER,OWN_DEVICE,WS-11601,HOST,EXACT,Identity_Master
EMP12621,USER,OWN_DEVICE,LPT-12621,HOST,EXACT,Identity_Master
EMP12029,USER,OWN_DEVICE,LPT-12029,HOST,EXACT,Identity_Master
EMP11950,USER,OWN_DEVICE,LPT-11950,HOST,EXACT,Identity_Master
EMP12718,USER,OWN_DEVICE,LPT-12718,HOST,EXACT,Identity_Master
EMP10184,USER,OWN_DEVICE,WS-10184,HOST,EXACT,Identity_Master
EMP12400,USER,OWN_DEVICE,VDR-12400,HOST,EXACT,Identity_Master
EMP10194,USER,OWN_DEVICE,LPT-10194,HOST,EXACT,Identity_Master
EMP12798,USER,OWN_DEVICE,WS-12798,HOST,EXACT,Identity_Master
EMP11195,USER,OWN_DEVICE,VDR-11195,HOST,EXACT,Identity_Master
EMP11406,USER,OWN_DEVICE,WS-11406,HOST,EXACT,Identity_Master
EMP10314,USER,OWN_DEVICE,VDR-10314,HOST,EXACT,Identity_Master
EMP10102,USER,OWN_DEVICE,WS-10102,HOST,EXACT,Identity_Master
EMP11437,USER,OWN_DEVICE,WS-11437,HOST,EXACT,Identity_Master
EMP12959,USER,OWN_DEVICE,VDR-12959,HOST,EXACT,Identity_Master
EMP11221,USER,OWN_DEVICE,WS-11221,HOST,EXACT,Identity_Master
EMP12935,USER,OWN_DEVICE,WS-12935,HOST,EXACT,Identity_Master
EMP10705,USER,OWN_DEVICE,LPT-10705.,HOST,EXACT,Identity_Master
EMP12234,USER,OWN_DEVICE,WS-12234,HOST,EXACT,Identity_Master
EMP11973,USER,OWN_DEVICE,VDR-11973.,HOST,EXACT,Identity_Master
EMP11517,USER,OWN_DEVICE,WS-11517,HOST,EXACT,Identity_Master
EMP12976,USER,OWN_DEVICE,VDR-12976.,HOST,EXACT,Identity_Master
EMP12232,USER,OWN_DEVICE,WS-12232,HOST,EXACT,Identity_Master
EMP10178,USER,OWN_DEVICE,WS-10178,HOST,EXACT,Identity_Master
EMP12030,USER,OWN_DEVICE,VDR-12030,HOST,EXACT,Identity_Master
EMP12926,USER,OWN_DEVICE,VDR-12926,HOST,EXACT,Identity_Master
EMP10611,USER,OWN_DEVICE,VDR-10611,HOST,EXACT,Identity_Master
EMP10679,USER,OWN_DEVICE,LPT-10679,HOST,EXACT,Identity_Master
EMP10152,USER,OWN_DEVICE,VDR-10152,HOST,EXACT,Identity_Master
EMP12484,USER,OWN_DEVICE,VDR-12484,HOST,EXACT,Identity_Master
EMP11025,USER,OWN_DEVICE,LPT-11025,HOST,EXACT,Identity_Master
EMP10907,USER,OWN_DEVICE,VDR-10907.,HOST,EXACT,Identity_Master
EMP10254,USER,OWN_DEVICE,LPT-10254,HOST,EXACT,Identity_Master
EMP10346,USER,OWN_DEVICE,VDR-10346,HOST,EXACT,Identity_Master
EMP10299,USER,OWN_DEVICE,VDR-10299,HOST,EXACT,Identity_Master
EMP12045,USER,OWN_DEVICE,LPT-12045,HOST,EXACT,Identity_Master
EMP11295,USER,OWN_DEVICE,WS-11295,HOST,EXACT,Identity_Master
EMP11357,USER,OWN_DEVICE,LPT-11357,HOST,EXACT,Identity_Master
EMP11422,USER,OWN_DEVICE,WS-11422,HOST,EXACT,Identity_Master
EMP12482,USER,OWN_DEVICE,WS-12482,HOST,EXACT,Identity_Master
EMP12603,USER,OWN_DEVICE,LPT-12603,HOST,EXACT,Identity_Master
EMP10246,USER,OWN_DEVICE,VDR-10246,HOST,EXACT,Identity_Master
EMP10900,USER,OWN_DEVICE,VDR-10900,HOST,EXACT,Identity_Master
EMP12130,USER,OWN_DEVICE,VDR-12130,HOST,EXACT,Identity_Master
EMP11681,USER,OWN_DEVICE,VDR-11681,HOST,EXACT,Identity_Master
EMP12334,USER,OWN_DEVICE,WS-12334,HOST,EXACT,Identity_Master
EMP10889,USER,OWN_DEVICE,VDR-10889,HOST,EXACT,Identity_Master
EMP11268,USER,OWN_DEVICE,VDR-11268,HOST,EXACT,Identity_Master
EMP11620,USER,OWN_DEVICE,WS-11620,HOST,EXACT,Identity_Master
EMP10700,USER,OWN_DEVICE,VDR-10700,HOST,EXACT,Identity_Master
EMP11061,USER,OWN_DEVICE,VDR-11061,HOST,EXACT,Identity_Master
EMP10485,USER,OWN_DEVICE,VDR-10485,HOST,EXACT,Identity_Master
EMP11356,USER,OWN_DEVICE,LPT-11356,HOST,EXACT,Identity_Master
EMP12310,USER,OWN_DEVICE,VDR-12310,HOST,EXACT,Identity_Master
EMP12181,USER,OWN_DEVICE,VDR-12181,HOST,EXACT,Identity_Master
EMP10746,USER,OWN_DEVICE,WS-10746,HOST,EXACT,Identity_Master
EMP10321,USER,OWN_DEVICE,LPT-10321,HOST,EXACT,Identity_Master
EMP12707,USER,OWN_DEVICE,VDR-12707,HOST,EXACT,Identity_Master
EMP10188,USER,OWN_DEVICE,LPT-10188,HOST,EXACT,Identity_Master
EMP10772,USER,OWN_DEVICE,VDR-10772,HOST,EXACT,Identity_Master
EMP12496,USER,OWN_DEVICE,WS-12496,HOST,EXACT,Identity_Master
EMP11451,USER,OWN_DEVICE,VDR-11451,HOST,EXACT,Identity_Master
EMP12354,USER,OWN_DEVICE,LPT-12354,HOST,EXACT,Identity_Master
EMP10410,USER,OWN_DEVICE,LPT-10410,HOST,EXACT,Identity_Master
EMP11727,USER,OWN_DEVICE,VDR-11727,HOST,EXACT,Identity_Master
EMP12852,USER,OWN_DEVICE,LPT-12852,HOST,EXACT,Identity_Master
EMP12216,USER,OWN_DEVICE,VDR-12216,HOST,EXACT,Identity_Master
EMP11398,USER,OWN_DEVICE,LPT-11398,HOST,EXACT,Identity_Master
EMP11361,USER,OWN_DEVICE,WS-11361,HOST,EXACT,Identity_Master
EMP11657,USER,OWN_DEVICE,WS-11657,HOST,EXACT,Identity_Master
EMP10051,USER,OWN_DEVICE,VDR-10051,HOST,EXACT,Identity_Master
EMP12789,USER,OWN_DEVICE,VDR-12789,HOST,EXACT,Identity_Master
EMP12553,USER,OWN_DEVICE,WS-12553,HOST,EXACT,Identity_Master
EMP12530,USER,OWN_DEVICE,LPT-12530,HOST,EXACT,Identity_Master
EMP11090,USER,OWN_DEVICE,VDR-11090,HOST,EXACT,Identity_Master
EMP11465,USER,OWN_DEVICE,LPT-11465,HOST,EXACT,Identity_Master
EMP11896,USER,OWN_DEVICE,WS-11896,HOST,EXACT,Identity_Master
EMP10052,USER,OWN_DEVICE,LPT-10052,HOST,EXACT,Identity_Master
EMP12807,USER,OWN_DEVICE,LPT-12807,HOST,EXACT,Identity_Master
EMP12763,USER,OWN_DEVICE,LPT-12763,HOST,EXACT,Identity_Master
EMP12551,USER,OWN_DEVICE,LPT-12551,HOST,EXACT,Identity_Master
