session_id,present_in_iam,present_in_firewall,match_status
SID625858,True,False,UNMATCHED
SID884358,False,True,UNMATCHED
SID826026,False,True,UNMATCHED
SID389507,True,False,UNMATCHED
SID218641,False,True,UNMATCHED
SID463958,True,False,UNMATCHED
SID-168011,False,True,UNMATCHED
SID776281,True,False,UNMATCHED
SID936564,False,True,UNMATCHED
SID518097,True,True,EXACT
SID-700989,True,False,UNMATCHED
SID128274,False,True,UNMATCHED
SID676957,True,False,UNMATCHED
sid456992,False,True,UNMATCHED
SID125341,False,True,UNMATCHED
SID924520,False,True,UNMATCHED
SID128488,False,True,UNMATCHED
SID498703,True,False,UNMATCHED
SID381844,True,False,UNMATCHED
SID555605,False,True,UNMATCHED
sid566061,False,True,UNMATCHED
SID316042,False,True,UNMATCHED
sid740703,False,True,UNMATCHED
SID551618,True,False,UNMATCHED
SID776709,False,True,UNMATCHED
SID653558,False,True,UNMATCHED
SID-151762,False,True,UNMATCHED
SID722867,False,True,UNMATCHED
SID708331,False,True,UNMATCHED
SID110771,False,True,UNMATCHED
SID148237,True,False,UNMATCHED
SID-829091,True,False,UNMATCHED
SID721194,True,False,UNMATCHED
SID489323,True,False,UNMATCHED
SID885563,False,True,UNMATCHED
SID260272,False,True,UNMATCHED
SID228855,False,True,UNMATCHED
SID902777,False,True,UNMATCHED
SID758723,True,False,UNMATCHED
SID626693,True,False,UNMATCHED
SID164739,False,True,UNMATCHED
SID370907,False,True,UNMATCHED
SID447555,False,True,UNMATCHED
SID719838,False,True,UNMATCHED
SID586479,False,True,UNMATCHED
SID873570,False,True,UNMATCHED
SID404358,True,False,UNMATCHED
SID408286,False,True,UNMATCHED
SID270196,False,True,UNMATCHED
SID883681,False,True,UNMATCHED
SID165021,False,True,UNMATCHED
SID242551,False,True,UNMATCHED
SID898403,False,True,UNMATCHED
SID661787,True,False,UNMATCHED
SID456941,True,False,UNMATCHED
SID843949,False,True,UNMATCHED
SID512018,False,True,UNMATCHED
SID115849,True,False,UNMATCHED
SID881386,False,True,UNMATCHED
SID-970911,True,False,UNMATCHED
sid188004,False,True,UNMATCHED
SID-975251,False,True,UNMATCHED
SID969614,True,False,UNMATCHED
SID458649,False,True,UNMATCHED
SID424121,True,False,UNMATCHED
SID854300,False,True,UNMATCHED
SID888123,True,False,UNMATCHED
SID846128,False,True,UNMATCHED
SID655854,False,True,UNMATCHED
SID143910,True,False,UNMATCHED
sid361800,False,True,UNMATCHED
SID151800,False,True,UNMATCHED
SID329262,False,True,UNMATCHED
SID873589,True,False,UNMATCHED
SID253003,True,False,UNMATCHED
SID255314,True,False,UNMATCHED
SID519050,False,True,UNMATCHED
SID895059,False,True,UNMATCHED
SID198490,False,True,UNMATCHED
SID859379,False,True,UNMATCHED
SID326246,False,True,UNMATCHED
SID503614,False,True,UNMATCHED
SID857962,True,False,UNMATCHED
SID495296,True,True,EXACT
SID820253,True,False,UNMATCHED
SID334851,False,True,UNMATCHED
SID752309,False,True,UNMATCHED
SID532126,True,False,UNMATCHED
SID525058,False,True,UNMATCHED
SID490285,False,True,UNMATCHED
SID742313,False,True,UNMATCHED
SID982419,False,True,UNMATCHED
SID812192,False,True,UNMATCHED
SID615386,False,True,UNMATCHED
SID209032,False,True,UNMATCHED
sid263825,False,True,UNMATCHED
SID935702,False,True,UNMATCHED
SID592109,False,True,UNMATCHED
SID512009,False,True,UNMATCHED
SID449378,True,False,UNMATCHED
SID632815,False,True,UNMATCHED
SID848287,False,True,UNMATCHED
SID393025,False,True,UNMATCHED
SID591253,False,True,UNMATCHED
SID-831590,True,False,UNMATCHED
SID546355,False,True,UNMATCHED
SID161678,False,True,UNMATCHED
SID426090,True,False,UNMATCHED
SID304755,False,True,UNMATCHED
SID923853,False,True,UNMATCHED
SID315269,False,True,UNMATCHED
SID268307,True,False,UNMATCHED
SID389890,True,False,UNMATCHED
SID112371,True,False,UNMATCHED
SID475664,False,True,UNMATCHED
SID922841,False,True,UNMATCHED
SID692005,True,False,UNMATCHED
SID-915974,False,True,UNMATCHED
SID260667,False,True,UNMATCHED
SID991149,False,True,UNMATCHED
SID586301,True,False,UNMATCHED
SID109586,False,True,UNMATCHED
SID272866,False,True,UNMATCHED
SID812046,False,True,UNMATCHED
SID948521,False,True,UNMATCHED
SID800318,True,False,UNMATCHED
SID760007,True,False,UNMATCHED
sid811363,False,True,UNMATCHED
SID690228,True,False,UNMATCHED
SID210463,True,True,EXACT
SID638158,True,False,UNMATCHED
SID316271,True,False,UNMATCHED
SID186574,False,True,UNMATCHED
SID-162837,False,True,UNMATCHED
SID804984,True,False,UNMATCHED
SID488765,False,True,UNMATCHED
SID575657,False,True,UNMATCHED
SID994067,False,True,UNMATCHED
SID846244,True,False,UNMATCHED
SID422299,False,True,UNMATCHED
SID267795,False,True,UNMATCHED
SID982188,False,True,UNMATCHED
SID604378,True,False,UNMATCHED
SID368548,False,True,UNMATCHED
SID451996,True,False,UNMATCHED
SID789442,False,True,UNMATCHED
SID349482,False,True,UNMATCHED
SID-879285,True,False,UNMATCHED
SID822011,False,True,UNMATCHED
SID441622,False,True,UNMATCHED
SID994704,False,True,UNMATCHED
SID415346,True,False,UNMATCHED
SID844057,True,False,UNMATCHED
SID956949,False,True,UNMATCHED
SID960460,False,True,UNMATCHED
SID424607,False,True,UNMATCHED
SID109238,False,True,UNMATCHED
SID475686,False,True,UNMATCHED
sid677933,False,True,UNMATCHED
sid811396,False,True,UNMATCHED
sid255347,False,True,UNMATCHED
SID157753,False,True,UNMATCHED
sid866465,False,True,UNMATCHED
sid222641,False,True,UNMATCHED
SID938554,False,True,UNMATCHED
SID978564,False,True,UNMATCHED
SID973060,False,True,UNMATCHED
SID709970,True,False,UNMATCHED
SID229363,False,True,UNMATCHED
SID207791,True,False,UNMATCHED
SID912150,False,True,UNMATCHED
SID643287,False,True,UNMATCHED
SID881992,False,True,UNMATCHED
SID669063,False,True,UNMATCHED
SID266832,False,True,UNMATCHED
SID486150,False,True,UNMATCHED
sid573589,False,True,UNMATCHED
SID131575,True,False,UNMATCHED
SID254341,True,False,UNMATCHED
SID387700,True,False,UNMATCHED
SID992967,False,True,UNMATCHED
sid390641,False,True,UNMATCHED
SID113171,True,False,UNMATCHED
SID478142,True,False,UNMATCHED
SID972891,True,False,UNMATCHED
SID-195645,False,True,UNMATCHED
SID942134,False,True,UNMATCHED
SID309027,False,True,UNMATCHED
SID717744,False,True,UNMATCHED
SID-187107,True,False,UNMATCHED
SID259485,True,False,UNMATCHED
SID439764,False,True,UNMATCHED
sid148443,False,True,UNMATCHED
SID500900,False,True,UNMATCHED
SID-818270,True,False,UNMATCHED
SID700031,True,False,UNMATCHED
SID681137,False,True,UNMATCHED
SID779268,False,True,UNMATCHED
SID738270,True,False,UNMATCHED
SID307852,True,False,UNMATCHED
SID705094,False,True,UNMATCHED
SID364938,False,True,UNMATCHED
SID903979,False,True,UNMATCHED
SID241465,False,True,UNMATCHED
SID427821,True,False,UNMATCHED
SID655661,False,True,UNMATCHED
SID841194,False,True,UNMATCHED
SID553345,True,False,UNMATCHED
SID557260,True,False,UNMATCHED
SID450790,False,True,UNMATCHED
SID225842,True,False,UNMATCHED
SID-612460,False,True,UNMATCHED
SID930378,False,True,UNMATCHED
sid201530,False,True,UNMATCHED
SID284288,False,True,UNMATCHED
SID174399,False,True,UNMATCHED
SID-235285,False,True,UNMATCHED
SID-267511,False,True,UNMATCHED
SID987266,True,False,UNMATCHED
SID536463,True,False,UNMATCHED
SID837385,False,True,UNMATCHED
SID619001,False,True,UNMATCHED
SID894455,False,True,UNMATCHED
SID956798,False,True,UNMATCHED
SID613456,True,False,UNMATCHED
sid292106,False,True,UNMATCHED
SID201248,False,True,UNMATCHED
SID641253,True,False,UNMATCHED
SID343480,True,False,UNMATCHED
SID175401,False,True,UNMATCHED
SID246581,False,True,UNMATCHED
SID718572,True,False,UNMATCHED
SID521722,True,False,UNMATCHED
SID819149,True,False,UNMATCHED
SID931519,False,True,UNMATCHED
SID285009,False,True,UNMATCHED
SID-744580,False,True,UNMATCHED
SID407228,False,True,UNMATCHED
SID302615,True,False,UNMATCHED
SID867306,False,True,UNMATCHED
SID826485,True,False,UNMATCHED
SID428737,False,True,UNMATCHED
SID131904,True,False,UNMATCHED
SID867549,False,True,UNMATCHED
SID435597,True,False,UNMATCHED
SID576341,True,False,UNMATCHED
SID146351,True,False,UNMATCHED
SID799372,False,True,UNMATCHED
SID-837804,False,True,UNMATCHED
SID103573,True,False,UNMATCHED
SID438626,True,False,UNMATCHED
SID-259315,False,True,UNMATCHED
SID544717,False,True,UNMATCHED
SID538505,True,False,UNMATCHED
SID344997,False,True,UNMATCHED
SID991925,False,True,UNMATCHED
SID982610,True,False,UNMATCHED
SID175271,False,True,UNMATCHED
SID451761,True,True,EXACT
SID346359,False,True,UNMATCHED
SID-822551,False,True,UNMATCHED
SID705967,False,True,UNMATCHED
SID746680,False,True,UNMATCHED
SID617825,True,False,UNMATCHED
SID380484,True,False,UNMATCHED
SID133522,False,True,UNMATCHED
SID241621,False,True,UNMATCHED
SID372187,False,True,UNMATCHED
SID120324,False,True,UNMATCHED
SID857272,True,False,UNMATCHED
SID727779,False,True,UNMATCHED
SID539438,True,False,UNMATCHED
SID332229,True,False,UNMATCHED
SID107761,False,True,UNMATCHED
SID667772,False,True,UNMATCHED
SID107290,False,True,UNMATCHED
SID535764,False,True,UNMATCHED
SID506379,False,True,UNMATCHED
SID251620,True,True,EXACT
SID968560,False,True,UNMATCHED
SID-168240,False,True,UNMATCHED
SID730214,True,False,UNMATCHED
SID-280545,False,True,UNMATCHED
SID246261,False,True,UNMATCHED
SID865337,False,True,UNMATCHED
SID615987,False,True,UNMATCHED
SID417470,True,False,UNMATCHED
SID793773,True,False,UNMATCHED
SID299246,True,False,UNMATCHED
SID237964,False,True,UNMATCHED
SID448814,True,False,UNMATCHED
SID244809,False,True,UNMATCHED
SID850679,False,True,UNMATCHED
SID509467,False,True,UNMATCHED
SID157115,False,True,UNMATCHED
SID974715,False,True,UNMATCHED
SID976890,True,False,UNMATCHED
SID316048,False,True,UNMATCHED
SID326787,True,False,UNMATCHED
SID524563,True,False,UNMATCHED
SID496980,False,True,UNMATCHED
SID783909,False,True,UNMATCHED
SID941354,False,True,UNMATCHED
SID221892,True,True,EXACT
SID750896,False,True,UNMATCHED
SID201527,True,False,UNMATCHED
SID269329,False,True,UNMATCHED
SID-973235,False,True,UNMATCHED
SID168679,True,False,UNMATCHED
SID662460,True,False,UNMATCHED
SID112202,True,False,UNMATCHED
SID842497,False,True,UNMATCHED
SID166076,False,True,UNMATCHED
SID662319,True,False,UNMATCHED
