entity_id,failed_login_zscore,auth_failure_rate_zscore,off_hours_zscore,endpoint_alert_zscore,unique_source_ip_zscore,unique_host_zscore,behavior_deviation_score,multi_signal_deviation_count,entity_type,firewall_deny_zscore,firewall_deny_ratio_zscore,bytes_sent_zscore,bytes_received_zscore
EMP12741,-0.6745,3.3725,-1.349,-0.6745,-2.0235,0.0,0.8431,1,USER,0.0,0.0,0.0,0.0
EMP11307,1.349,0.6745,0.6745,-0.6745,0.0,0.0,0.5059,0,USER,0.0,0.0,0.0,0.0
EMP11601,-0.6745,-1.349,-2.0235,1.349,-2.0235,0.0,0.3372,0,USER,0.0,0.0,0.0,0.0
EMP12621,-1.349,-1.6188,-0.6745,0.0,0.0,0.0,0.0,0,USER,0.0,0.0,0.0,0.0
EMP12029,-0.6745,-0.2529,-1.349,-1.349,0.0,-1.0,0.0,0,USER,0.0,0.0,0.0,0.0
EMP11950,0.6745,0.3787,0.0,-2.0235,-0.6745,-1.0,0.1686,0,USER,0.0,0.0,0.0,0.0
EMP12718,0.0,2.2483,-0.6745,0.6745,-2.0235,0.0,0.7307,0,USER,0.0,0.0,0.0,0.0
EMP10184,-0.6745,-1.6188,1.349,0.0,-0.6745,0.0,0.3372,0,USER,0.0,0.0,0.0,0.0
EMP12400,1.349,-0.0736,1.349,-1.349,1.349,-1.0,1.0118,0,USER,0.0,0.0,0.0,0.0
EMP10194,12.8153,0.2829,17.5368,1.349,16.8623,0.0,12.1408,3,USER,0.0,0.0,0.0,0.0
EMP12798,0.0,-0.1927,0.6745,1.349,-1.349,0.0,0.5059,0,USER,0.0,0.0,0.0,0.0
EMP11195,-0.6745,0.0,0.0,-1.349,-0.6745,0.0,0.0,0,USER,0.0,0.0,0.0,0.0
EMP11406,0.0,0.0,0.0,-0.6745,-0.6745,0.0,0.0,0,USER,0.0,0.0,0.0,0.0
EMP10314,-1.349,-1.5176,-1.349,1.349,-2.0235,0.0,0.3372,0,USER,0.0,0.0,0.0,0.0
EMP10102,-0.6745,-1.349,0.0,-1.349,-0.6745,-1.0,0.0,0,USER,0.0,0.0,0.0,0.0
EMP11437,0.6745,1.349,0.0,0.0,-1.349,0.0,0.3372,0,USER,0.0,0.0,0.0,0.0
EMP12959,0.6745,0.3854,0.0,0.0,-1.349,0.0,0.1686,0,USER,0.0,0.0,0.0,0.0
EMP11221,0.6745,1.0792,0.0,0.0,0.0,0.0,0.2698,0,USER,0.0,0.0,0.0,0.0
EMP12935,-0.6745,0.6745,-1.349,0.6745,-2.0235,0.0,0.3372,0,USER,0.0,0.0,0.0,0.0
EMP10705,0.0,-0.7588,1.349,0.6745,1.349,0.0,0.8431,0,USER,0.0,0.0,0.0,0.0
EMP12234,-0.6745,0.0,-1.349,0.6745,-1.349,0.0,0.1686,0,USER,0.0,0.0,0.0,0.0
EMP11973,-0.6745,-0.6745,0.0,2.698,-1.349,0.0,0.6745,1,USER,0.0,0.0,0.0,0.0
EMP11517,0.0,0.483,0.0,1.349,0.0,0.0,0.458,0,USER,0.0,0.0,0.0,0.0
EMP12976,1.349,0.6745,1.349,-0.6745,1.349,0.0,1.0118,0,USER,0.0,0.0,0.0,0.0
