event_id,source_dataset,source_record_id,event_category,event_type,severity,action,user_id,hostname,session_id,data_quality_status,is_off_hours,is_chronology_anomaly,feature_confidence
IAM00008974,IAM,IAM00008974,AUTHENTICATION,login_success,High,LOGIN_SUCCESS,EMP11889,VDR-11889,SID120652,UNKNOWN,False,False,PROBABLE
IAM00017969,IAM,IAM00017969,AUTHENTICATION,login_failed,High,LOGIN_FAILED,EMP10918,WS-10918,Unknown,UNKNOWN,True,False,PROBABLE
IAM00015700,IAM,IAM00015700,AUTHENTICATION,login_failed,High,LOGIN_FAILED,EMP10629,WS-10629,Unknown,UNKNOWN,True,False,PROBABLE
IAM00016756,IAM,IAM00016756,AUTHENTICATION,other,High,OTHER,EMP10271,LPT-10271,Unknown,UNKNOWN,True,False,PROBABLE
IAM00009357,IAM,IAM00009357,AUTHENTICATION,login_failed,Medium,LOGIN_FAILED,EMP10122,LPT-10122,Unknown,UNKNOWN,True,False,PROBABLE
IAM00014775,IAM,IAM00014775,AUTHENTICATION,login_success,Info,LOGIN_SUCCESS,EMP12961,LPT-12961,Unknown,IMPUTED,True,False,PROBABLE
IAM00004189,IAM,IAM00004189,AUTHENTICATION,login_success,Low,LOGIN_SUCCESS,EMP10289,LPT-10289,SID754956,VALID,True,False,EXACT
IAM00016161,IAM,IAM00016161,AUTHENTICATION,other,High,OTHER,EMP12196,LPT-12196,Unknown,UNKNOWN,True,False,PROBABLE
IAM00013358,IAM,IAM00013358,AUTHENTICATION,login_failed,Medium,LOGIN_FAILED,EMP12764,Unknown,Unknown,UNKNOWN,False,False,PROBABLE
IAM00006152,IAM,IAM00006152,AUTHENTICATION,login_failed,High,LOGIN_FAILED,EMP11251,VDR-11251,SID567692,UNKNOWN,True,False,PROBABLE
IAM00007817,IAM,IAM00007817,AUTHENTICATION,login_failed,Info,LOGIN_FAILED,EMP11436,VDR-11436,SID659017,UNKNOWN,False,False,PROBABLE
IAM00019438,IAM,IAM00019438,AUTHENTICATION,login_failed,Medium,LOGIN_FAILED,EMP10912,LPT-10912,Unknown,UNKNOWN,True,False,PROBABLE
IAM00019877,IAM,IAM00019877,AUTHENTICATION,login_failed,Info,LOGIN_FAILED,EMP11632,VDR-11632,Unknown,IMPUTED,False,False,PROBABLE
IAM00010429,IAM,IAM00010429,AUTHENTICATION,login_success,High,LOGIN_SUCCESS,EMP12973,LPT-12973,SID662830,REPAIRED,True,False,PROBABLE
IAM00019043,IAM,IAM00019043,AUTHENTICATION,login_failed,Medium,LOGIN_FAILED,EMP12622,LPT-12622,Unknown,VALID,False,False,EXACT
IAM00012228,IAM,IAM00012228,AUTHENTICATION,other,Medium,OTHER,EMP12505,LPT-12505,Unknown,REPAIRED,True,False,PROBABLE
