edge_id,source_id,target_id,relationship_type,relationship_confidence,source_dataset,source_record_id,evidence_type
EDG-10000,EMP12741,DEPT-SUPPLY_CHAIN,BELONGS_TO,EXACT,canonical_users,EMP12741,ORGANIZATIONAL_ASSIGNMENT
EDG-10001,EMP11307,DEPT-LEGAL,BELONGS_TO,EXACT,canonical_users,EMP11307,ORGANIZATIONAL_ASSIGNMENT
EDG-10002,EMP11601,DEPT-MARKETING,BELONGS_TO,EXACT,canonical_users,EMP11601,ORGANIZATIONAL_ASSIGNMENT
EDG-10003,EMP12621,DEPT-SUPPORT,BELONGS_TO,EXACT,canonical_users,EMP12621,ORGANIZATIONAL_ASSIGNMENT
EDG-10004,EMP12029,DEPT-R&D,BELONGS_TO,EXACT,canonical_users,EMP12029,ORGANIZATIONAL_ASSIGNMENT
EDG-10005,EMP11950,DEPT-CALL_CENTER,BELONGS_TO,EXACT,canonical_users,EMP11950,ORGANIZATIONAL_ASSIGNMENT
EDG-10006,EMP12718,DEPT-COMPLIANCE,BELONGS_TO,EXACT,canonical_users,EMP12718,ORGANIZATIONAL_ASSIGNMENT
EDG-10007,EMP10184,DEPT-IT,BELONGS_TO,EXACT,canonical_users,EMP10184,ORGANIZATIONAL_ASSIGNMENT
EDG-10008,EMP12400,DEPT-IT,BELONGS_TO,EXACT,canonical_users,EMP12400,ORGANIZATIONAL_ASSIGNMENT
EDG-10009,EMP10194,DEPT-R&D,BELONGS_TO,EXACT,canonical_users,EMP10194,ORGANIZATIONAL_ASSIGNMENT
EDG-10010,EMP12798,DEPT-SALES,BELONGS_TO,EXACT,canonical_users,EMP12798,ORGANIZATIONAL_ASSIGNMENT
EDG-10011,EMP11195,DEPT-LEGAL,BELONGS_TO,EXACT,canonical_users,EMP11195,ORGANIZATIONAL_ASSIGNMENT
EDG-10012,EMP11406,DEPT-SALES,BELONGS_TO,EXACT,canonical_users,EMP11406,ORGANIZATIONAL_ASSIGNMENT
EDG-10013,EMP10314,DEPT-R&D,BELONGS_TO,EXACT,canonical_users,EMP10314,ORGANIZATIONAL_ASSIGNMENT
EDG-10014,EMP10102,DEPT-FINANCE,BELONGS_TO,EXACT,canonical_users,EMP10102,ORGANIZATIONAL_ASSIGNMENT
EDG-10015,EMP11437,DEPT-OPERATIONS,BELONGS_TO,EXACT,canonical_users,EMP11437,ORGANIZATIONAL_ASSIGNMENT
EDG-10016,EMP12959,DEPT-SALES,BELONGS_TO,EXACT,canonical_users,EMP12959,ORGANIZATIONAL_ASSIGNMENT
EDG-10017,EMP11221,DEPT-LEGAL,BELONGS_TO,EXACT,canonical_users,EMP11221,ORGANIZATIONAL_ASSIGNMENT
EDG-10018,EMP12935,DEPT-PROCUREMENT,BELONGS_TO,EXACT,canonical_users,EMP12935,ORGANIZATIONAL_ASSIGNMENT
EDG-10019,EMP10705,DEPT-MARKETING,BELONGS_TO,EXACT,canonical_users,EMP10705,ORGANIZATIONAL_ASSIGNMENT
EDG-10020,EMP12234,DEPT-OPERATIONS,BELONGS_TO,EXACT,canonical_users,EMP12234,ORGANIZATIONAL_ASSIGNMENT
EDG-10021,EMP11973,DEPT-R&D,BELONGS_TO,EXACT,canonical_users,EMP11973,ORGANIZATIONAL_ASSIGNMENT
EDG-10022,EMP11517,DEPT-HUMAN_RESOURCES,BELONGS_TO,EXACT,canonical_users,EMP11517,ORGANIZATIONAL_ASSIGNMENT
EDG-10023,EMP12976,DEPT-SALES,BELONGS_TO,EXACT,canonical_users,EMP12976,ORGANIZATIONAL_ASSIGNMENT
EDG-10024,EMP12232,DEPT-OPERATIONS,BELONGS_TO,EXACT,canonical_users,EMP12232,ORGANIZATIONAL_ASSIGNMENT
EDG-10025,EMP10178,DEPT-OPERATIONS,BELONGS_TO,EXACT,canonical_users,EMP10178,ORGANIZATIONAL_ASSIGNMENT
EDG-10026,EMP12030,DEPT-CUSTOMER_SUPPORT,BELONGS_TO,EXACT,canonical_users,EMP12030,ORGANIZATIONAL_ASSIGNMENT
EDG-10027,EMP12926,DEPT-SALES,BELONGS_TO,EXACT,canonical_users,EMP12926,ORGANIZATIONAL_ASSIGNMENT
EDG-10028,EMP10611,DEPT-PROCUREMENT,BELONGS_TO,EXACT,canonical_users,EMP10611,ORGANIZATIONAL_ASSIGNMENT
EDG-10029,EMP10679,DEPT-IT_SUPPORT,BELONGS_TO,EXACT,canonical_users,EMP10679,ORGANIZATIONAL_ASSIGNMENT
EDG-10030,EMP10152,DEPT-SUPPORT,BELONGS_TO,EXACT,canonical_users,EMP10152,ORGANIZATIONAL_ASSIGNMENT
EDG-10031,EMP12484,DEPT-SALES,BELONGS_TO,EXACT,canonical_users,EMP12484,ORGANIZATIONAL_ASSIGNMENT
EDG-10032,EMP11025,DEPT-FINANCE,BELONGS_TO,EXACT,canonical_users,EMP11025,ORGANIZATIONAL_ASSIGNMENT
EDG-10033,EMP10907,DEPT-FINANCE,BELONGS_TO,EXACT,canonical_users,EMP10907,ORGANIZATIONAL_ASSIGNMENT
EDG-10034,EMP10254,DEPT-FINANCE,BELONGS_TO,EXACT,canonical_users,EMP10254,ORGANIZATIONAL_ASSIGNMENT
EDG-10035,EMP12416,DEPT-LEGAL,BELONGS_TO,EXACT,canonical_users,EMP12416,ORGANIZATIONAL_ASSIGNMENT
EDG-10036,EMP12332,DEPT-HUMAN_RESOURCES,BELONGS_TO,EXACT,canonical_users,EMP12332,ORGANIZATIONAL_ASSIGNMENT
EDG-10037,EMP10346,DEPT-LEGAL,BELONGS_TO,EXACT,canonical_users,EMP10346,ORGANIZATIONAL_ASSIGNMENT
EDG-10038,EMP10299,DEPT-PROCUREMENT,BELONGS_TO,EXACT,canonical_users,EMP10299,ORGANIZATIONAL_ASSIGNMENT
EDG-10039,EMP12045,DEPT-INNOVATION,BELONGS_TO,EXACT,canonical_users,EMP12045,ORGANIZATIONAL_ASSIGNMENT
EDG-10040,EMP11295,DEPT-LEGAL,BELONGS_TO,EXACT,canonical_users,EMP11295,ORGANIZATIONAL_ASSIGNMENT
EDG-10041,EMP11357,DEPT-COMPLIANCE,BELONGS_TO,EXACT,canonical_users,EMP11357,ORGANIZATIONAL_ASSIGNMENT
EDG-10042,EMP11422,DEPT-CUSTOMER_SUPPORT,BELONGS_TO,EXACT,canonical_users,EMP11422,ORGANIZATIONAL_ASSIGNMENT
EDG-10043,EMP12482,DEPT-MARKETING,BELONGS_TO,EXACT,canonical_users,EMP12482,ORGANIZATIONAL_ASSIGNMENT
EDG-10044,EMP10139,DEPT-LEGAL,BELONGS_TO,EXACT,canonical_users,EMP10139,ORGANIZATIONAL_ASSIGNMENT
EDG-10045,EMP12603,DEPT-FINANCE,BELONGS_TO,EXACT,canonical_users,EMP12603,ORGANIZATIONAL_ASSIGNMENT
EDG-10046,EMP10246,DEPT-LEGAL,BELONGS_TO,EXACT,canonical_users,EMP10246,ORGANIZATIONAL_ASSIGNMENT
