node_id,node_type,label,department,status,source_dataset,source_record_id
EMP12741,USER,omkaar.chana52,Supply Chain,Active,canonical_users,EMP12741
EMP11307,USER,ethan.narasimhan97,Legal,Active,canonical_users,EMP11307
EMP11601,USER,ethan.choudhry47,Marketing,Active,canonical_users,EMP11601
EMP12621,USER,vedant_panchal60,Support,Active,canonical_users,EMP12621
EMP12029,USER,gayathri.mohanty65,R&D,Active,canonical_users,EMP12029
EMP11950,USER,garima.chaudhary44,Call Center,Active,canonical_users,EMP11950
EMP12718,USER,vrishti.dewan18,Compliance,Active,canonical_users,EMP12718
EMP10184,USER,Unknown,IT,Active,canonical_users,EMP10184
EMP12400,USER,peter.sama77,IT,Active,canonical_users,EMP12400
EMP10194,USER,ayush.dua87,R&D,Active,canonical_users,EMP10194
EMP12798,USER,abhimanyu.trivedi4,Sales,Active,canonical_users,EMP12798
EMP11195,USER,christopher.toor37,Legal,Active,canonical_users,EMP11195
EMP11406,USER,urishilla.bhatt88,Sales,Active,canonical_users,EMP11406
EMP10314,USER,girindra.dhaliwal46,R&D,Terminated,canonical_users,EMP10314
EMP10102,USER,gaurangi.samra66,Finance,Terminated,canonical_users,EMP10102
EMP11437,USER,waida.anand56,Operations,Active,canonical_users,EMP11437
EMP12959,USER,libni.lala75,Sales,Active,canonical_users,EMP12959
EMP11221,USER,qabil.lanka74,Legal,Active,canonical_users,EMP11221
EMP12935,USER,abha.naik17,Procurement,Active,canonical_users,EMP12935
EMP10705,USER,bimala.raval96,Marketing,Active,canonical_users,EMP10705
EMP12234,USER,tristan.ravi53,Operations,On Leave,canonical_users,EMP12234
EMP11973,USER,edhitha.pathak81,R&D,Terminated,canonical_users,EMP11973
EMP11517,USER,anita.dutt25,Human Resources,Active,canonical_users,EMP11517
EMP12976,USER,aayush.koshy48,Sales,Active,canonical_users,EMP12976
EMP12232,USER,Unknown,Operations,Terminated,canonical_users,EMP12232
EMP10178,USER,tanveer.ghose11,Operations,Disabled,canonical_users,EMP10178
EMP12030,USER,urishilla.dugar5,Customer Support,Active,canonical_users,EMP12030
EMP12926,USER,ronith.bhatti96,Sales,Active,canonical_users,EMP12926
EMP10611,USER,Unknown,Procurement,Active,canonical_users,EMP10611
EMP10679,USER,ira.khanna17,IT Support,Active,canonical_users,EMP10679
EMP10152,USER,finn.vig49,Support,Disabled,canonical_users,EMP10152
EMP12484,USER,aahana.seth4,Sales,Active,canonical_users,EMP12484
EMP11025,USER,darsh.patla51,Finance,Active,canonical_users,EMP11025
EMP10907,USER,sneha.loke46,Finance,Disabled,canonical_users,EMP10907
EMP10254,USER,wriddhish_arora70,Finance,Active,canonical_users,EMP10254
EMP12416,USER,harish.bhatia99,Legal,Active,canonical_users,EMP12416
EMP12332,USER,shravya.mand51,Human Resources,Terminated,canonical_users,EMP12332
EMP10346,USER,dipta_oza8,Legal,Active,canonical_users,EMP10346
EMP10299,USER,anmol.bhatt26,Procurement,Active,canonical_users,EMP10299
EMP12045,USER,girik.gaba54,Innovation,Active,canonical_users,EMP12045
EMP11295,USER,utkarsh.bakshi57,Legal,Active,canonical_users,EMP11295
EMP11357,USER,nandini.buch11,Compliance,Active,canonical_users,EMP11357
EMP11422,USER,rishi.contractor33,Customer Support,Active,canonical_users,EMP11422
EMP12482,USER,chakrika.nagar94,Marketing,Active,canonical_users,EMP12482
EMP10139,USER,isaac.dugar28,Legal,Disabled,canonical_users,EMP10139
EMP12603,USER,gautam.dass68,Finance,Active,canonical_users,EMP12603
EMP10246,USER,rohan.dash48,Legal,Disabled,canonical_users,EMP10246
EMP10900,USER,lohit.reddy93,Procurement,Active,canonical_users,EMP10900
