hostname,firewall_event_count,firewall_deny_count,threat_flag_count,unique_source_ip_count,unique_destination_ip_count,bytes_sent,bytes_received,session_count,endpoint_alert_count,critical_endpoint_alert_count,is_managed,firewall_deny_ratio,evidence_count,feature_confidence,observation_count,valid_timestamp_count,distinct_active_days,distinct_active_hours,min_ts,max_ts,unknown_timestamp_count,historical_span_days,timestamp_quality_score,eligibility_status,baseline_confidence,baseline_method,baseline_window,population_deny_ratio_median,population_deny_ratio_mad,population_endpoint_alert_median,population_endpoint_alert_mad
LPT-10321.corp.local,2.0,0.0,0.0,2.0,1.0,64048925.0,24920130.92,1.0,0.0,0.0,False,0.0,2.0,PROBABLE,2,0,0,0,,,2,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
vdr-11746,2.0,0.0,1.0,1.0,1.0,69623760.22,67408075.64,2.0,0.0,0.0,False,0.0,2.0,PROBABLE,2,0,0,0,,,2,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
vdr-10354,1.0,0.0,0.0,0.0,1.0,14024993.0,28631869.44,1.0,0.0,0.0,False,0.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
VDR_12159,1.0,0.0,1.0,0.0,0.0,24819643.22,14146806.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
LPT-12644.corp.local,1.0,1.0,0.0,0.0,1.0,1237319.68,7791748.0,1.0,0.0,0.0,False,1.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
LPT_12522,2.0,1.0,0.0,1.0,1.0,40904799.06,74243103.64,2.0,0.0,0.0,False,0.5,2.0,PROBABLE,2,0,0,0,,,2,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
lpt-12780,3.0,0.0,0.0,2.0,1.0,54950168.28,86023040.0,3.0,0.0,0.0,False,0.0,3.0,PROBABLE,3,0,0,0,,,3,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
ws-11994,1.0,1.0,0.0,1.0,0.0,41446528.0,24526192.64,1.0,0.0,0.0,False,1.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
VDR-12119,5.0,0.0,0.0,5.0,3.0,144664737.8,149731391.28,5.0,2.0,0.0,True,0.0,7.0,EXACT,11,5,5,5,2026-08-08 22:20:52,2026-09-09 10:53:48,6,31.52,0.4545,INSUFFICIENT_TIMESTAMP_QUALITY,LOW,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
VDR-10929,5.0,0.0,0.0,2.0,3.0,125051586.48,112254348.44,5.0,3.0,1.0,True,0.0,8.0,EXACT,13,8,7,6,2026-08-04 00:00:00,2026-09-08 06:30:00,5,35.27,0.6154,SUFFICIENT_HISTORY,MEDIUM,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
WS-11672,6.0,2.0,0.0,3.0,4.0,141604633.46,111335554.92,5.0,4.0,0.0,False,0.3333333333333333,10.0,PROBABLE,14,7,7,5,2026-08-01 00:00:00,2026-08-28 11:41:26,7,27.49,0.5,SUFFICIENT_HISTORY,MEDIUM,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
VDR-10825.corp.local,1.0,0.0,0.0,0.0,1.0,17711396.0,38894007.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE,1,0,0,0,,,1,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
VDR-11910,5.0,1.0,2.0,3.0,3.0,87548982.53999999,120404940.8,4.0,1.0,0.0,False,0.2,6.0,PROBABLE,9,4,4,4,2026-08-03 20:02:10,2026-09-04 16:50:56,5,31.87,0.4444,INSUFFICIENT_TIMESTAMP_QUALITY,LOW,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
vdr-12579,2.0,0.0,0.0,1.0,0.0,64113847.92,76942225.0,1.0,0.0,0.0,False,0.0,2.0,PROBABLE,2,0,0,0,,,2,0.0,0.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,0.0,0.0,0.0,0.0
