hostname,firewall_event_count,firewall_deny_count,threat_flag_count,unique_source_ip_count,unique_destination_ip_count,bytes_sent,bytes_received,session_count,endpoint_alert_count,critical_endpoint_alert_count,is_managed,firewall_deny_ratio,evidence_count,feature_confidence
LPT-10321.corp.local,2.0,0.0,0.0,2.0,1.0,64048925.0,24920130.92,1.0,0.0,0.0,False,0.0,2.0,PROBABLE
vdr-11746,2.0,0.0,1.0,1.0,1.0,69623760.22,67408075.64,2.0,0.0,0.0,False,0.0,2.0,PROBABLE
vdr-10354,1.0,0.0,0.0,0.0,1.0,14024993.0,28631869.44,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
VDR_12159,1.0,0.0,1.0,0.0,0.0,24819643.22,14146806.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
LPT-12644.corp.local,1.0,1.0,0.0,0.0,1.0,1237319.68,7791748.0,1.0,0.0,0.0,False,1.0,1.0,PROBABLE
LPT_12522,2.0,1.0,0.0,1.0,1.0,40904799.06,74243103.64,2.0,0.0,0.0,False,0.5,2.0,PROBABLE
lpt-12780,3.0,0.0,0.0,2.0,1.0,54950168.28,86023040.0,3.0,0.0,0.0,False,0.0,3.0,PROBABLE
ws-11994,1.0,1.0,0.0,1.0,0.0,41446528.0,24526192.64,1.0,0.0,0.0,False,1.0,1.0,PROBABLE
VDR-12119,5.0,0.0,0.0,5.0,3.0,144664737.8,149731391.28,5.0,2.0,0.0,True,0.0,7.0,EXACT
VDR-10929,5.0,0.0,0.0,2.0,3.0,125051586.47999999,112254348.44,5.0,3.0,1.0,True,0.0,8.0,EXACT
WS-11672,6.0,2.0,0.0,3.0,4.0,141604633.46,111335554.92,5.0,4.0,0.0,False,0.3333333333333333,10.0,PROBABLE
VDR-10825.corp.local,1.0,0.0,0.0,0.0,1.0,17711396.0,38894007.0,1.0,0.0,0.0,False,0.0,1.0,PROBABLE
VDR-11910,5.0,1.0,2.0,3.0,3.0,87548982.53999999,120404940.8,4.0,1.0,0.0,False,0.2,6.0,PROBABLE
vdr-12579,2.0,0.0,0.0,1.0,0.0,64113847.92,76942225.0,1.0,0.0,0.0,False,0.0,2.0,PROBABLE
ws-11393,2.0,1.0,0.0,1.0,2.0,61210303.22,39468417.64,2.0,0.0,0.0,False,0.5,2.0,PROBABLE
WS-10117.corp.local,2.0,0.0,1.0,2.0,1.0,63548061.22,43898459.64,1.0,0.0,0.0,False,0.0,2.0,PROBABLE
WS-10190,4.0,0.0,1.0,2.0,1.0,65306045.14,109476491.28,4.0,5.0,0.0,False,0.0,9.0,PROBABLE
