hostname,temporal_sequence_count,strongest_sequence_strength,temporal_evidence_count,temporal_confidence,temporal_signal_present
vdr-11375,0,0.0,0,0.0,False
ws-12406,0,0.0,0,0.0,False
WS_12242,0,0.0,0,0.0,False
WS-10649,0,0.0,0,0.0,False
WS-12736,0,0.0,0,0.0,False
lpt-12211,0,0.0,0,0.0,False
WS-10184.corp.local,0,0.0,0,0.0,False
LPT_10752,0,0.0,0,0.0,False
WS-12760.corp.local,0,0.0,0,0.0,False
WS_10400,0,0.0,0,0.0,False
WS-10487.corp.local,0,0.0,0,0.0,False
LPT_10612,0,0.0,0,0.0,False
LPT-12852,0,0.0,0,0.0,False
LPT-10327,0,0.0,0,0.0,False
WS-10572.corp.local,0,0.0,0,0.0,False
LPT_12985,0,0.0,0,0.0,False
VDR_12865,0,0.0,0,0.0,False
WS-11851,0,0.0,0,0.0,False
lpt-11133,0,0.0,0,0.0,False
LPT-12643,0,0.0,0,0.0,False
VDR-10816.,0,0.0,0,0.0,False
WS_11006,0,0.0,0,0.0,False
vdr-11600,0,0.0,0,0.0,False
lpt-12517,0,0.0,0,0.0,False
VDR-11774.corp.local,0,0.0,0,0.0,False
lpt-10822,0,0.0,0,0.0,False
ws-12914,0,0.0,0,0.0,False
WS_11885,0,0.0,0,0.0,False
LPT_10084,0,0.0,0,0.0,False
vdr-12749,0,0.0,0,0.0,False
ws-12496,0,0.0,0,0.0,False
VDR_12624,0,0.0,0,0.0,False
VDR-10314,0,0.0,0,0.0,False
LPT-11662.corp.local,0,0.0,0,0.0,False
WS_10430,0,0.0,0,0.0,False
vdr-10029,0,0.0,0,0.0,False
LPT-11661,0,0.0,0,0.0,False
WS-11135,0,0.0,0,0.0,False
lpt-12838,0,0.0,0,0.0,False
lpt-12937,0,0.0,0,0.0,False
VDR-10270.corp.local,0,0.0,0,0.0,False
VDR-12893,0,0.0,0,0.0,False
lpt-10734,0,0.0,0,0.0,False
WS_12390,0,0.0,0,0.0,False
LPT_10262,0,0.0,0,0.0,False
vdr-10656,0,0.0,0,0.0,False
WS-10332.corp.local,0,0.0,0,0.0,False
lpt-12428,0,0.0,0,0.0,False
ws-11135,0,0.0,0,0.0,False
VDR-10466.corp.local,0,0.0,0,0.0,False
LPT-11519,0,0.0,0,0.0,False
vdr-12922,0,0.0,0,0.0,False
VDR-12198.corp.local,0,0.0,0,0.0,False
LPT_11574,0,0.0,0,0.0,False
WS_10962,0,0.0,0,0.0,False
WS-12165.corp.local,0,0.0,0,0.0,False
LPT_12852,0,0.0,0,0.0,False
VDR-10077,1,75.0,2,0.73,True
LPT-12186.corp.local,0,0.0,0,0.0,False
ws-12822,0,0.0,0,0.0,False
WS-11570,1,75.0,2,0.73,True
LPT_12961,0,0.0,0,0.0,False
LPT-12644,0,0.0,0,0.0,False
LPT_12110,0,0.0,0,0.0,False
WS-10448.corp.local,0,0.0,0,0.0,False
LPT_12920,0,0.0,0,0.0,False
LPT-11640,0,0.0,0,0.0,False
VDR_12325,0,0.0,0,0.0,False
LPT_10981,0,0.0,0,0.0,False
ws-10307,0,0.0,0,0.0,False
VDR_11858,0,0.0,0,0.0,False
VDR-10056,0,0.0,0,0.0,False
VDR_12869,0,0.0,0,0.0,False
lpt-12259,0,0.0,0,0.0,False
VDR_11283,0,0.0,0,0.0,False
LPT-12298.corp.local,0,0.0,0,0.0,False
VDR-12191,0,0.0,0,0.0,False
VDR_11556,0,0.0,0,0.0,False
LPT-12685.corp.local,0,0.0,0,0.0,False
WS_12589,0,0.0,0,0.0,False
VDR-12841,0,0.0,0,0.0,False
vdr-12087,0,0.0,0,0.0,False
VDR-12436,0,0.0,0,0.0,False
VDR-12074,0,0.0,0,0.0,False
WS_11953,0,0.0,0,0.0,False
VDR-10247.,0,0.0,0,0.0,False
LPT-12143,0,0.0,0,0.0,False
WS-10351,0,0.0,0,0.0,False
LPT-12197.corp.local,0,0.0,0,0.0,False
vdr-11042,0,0.0,0,0.0,False
VDR-12959,0,0.0,0,0.0,False
LPT-11015.corp.local,0,0.0,0,0.0,False
VDR-11797,0,0.0,0,0.0,False
lpt-11631,0,0.0,0,0.0,False
LPT-10954,0,0.0,0,0.0,False
WS-11497,0,0.0,0,0.0,False
LPT_11593,0,0.0,0,0.0,False
WS-10175.corp.local,0,0.0,0,0.0,False
lpt-12967,0,0.0,0,0.0,False
LPT-12326.corp.local,0,0.0,0,0.0,False
VDR-11815,0,0.0,0,0.0,False
LPT_11311,0,0.0,0,0.0,False
LPT-11015,0,0.0,0,0.0,False
WS-10543,0,0.0,0,0.0,False
WS-11391,0,0.0,0,0.0,False
WS-11080,0,0.0,0,0.0,False
LPT-10904,0,0.0,0,0.0,False
VDR-12222,0,0.0,0,0.0,False
vdr-10585,0,0.0,0,0.0,False
WS-12192,0,0.0,0,0.0,False
VDR-10767,0,0.0,0,0.0,False
WS-12851.corp.local,0,0.0,0,0.0,False
WS-12164.corp.local,0,0.0,0,0.0,False
LPT-12578,0,0.0,0,0.0,False
WS-10265,1,100.0,2,0.88,True
LPT-12466,0,0.0,0,0.0,False
VDR-10838,0,0.0,0,0.0,False
LPT-10750,0,0.0,0,0.0,False
WS-12746,0,0.0,0,0.0,False
VDR-12423,0,0.0,0,0.0,False
LPT-11710.corp.local,0,0.0,0,0.0,False
VDR_10016,0,0.0,0,0.0,False
WS-10082.corp.local,0,0.0,0,0.0,False
VDR-12430.corp.local,0,0.0,0,0.0,False
