entity_id,entity_type,outlier_dimension_count,active_dimensions,auth_zscore,network_zscore,endpoint_zscore,off_hours_zscore,multi_dimension_outlier_score,outlier_confidence,is_multi_dimensional_outlier
EMP12741,USER,0,NONE,-0.67,-2.02,-0.67,-1.35,-1.14,0.5,False
EMP11307,USER,0,NONE,1.35,0.0,-0.67,0.67,0.37,0.5,False
EMP11601,USER,0,NONE,-0.67,-2.02,1.35,-2.02,-0.77,0.5,False
EMP12621,USER,0,NONE,-1.35,0.0,0.0,-0.67,-0.54,0.5,False
EMP12029,USER,0,NONE,-0.67,0.0,-1.35,-1.35,-0.81,0.5,False
EMP11950,USER,0,NONE,0.67,-0.67,-2.02,0.0,-0.47,0.5,False
EMP12718,USER,0,NONE,0.0,-2.02,0.67,-0.67,-0.47,0.5,False
EMP10184,USER,0,NONE,-0.67,-0.67,0.0,1.35,-0.1,0.5,False
EMP12400,USER,0,NONE,1.35,1.35,-1.35,1.35,0.68,0.5,False
EMP10194,USER,3,AUTHENTICATION|NETWORK_IP|OFF_HOURS,12.82,16.86,1.35,17.54,11.91,0.95,True
EMP12798,USER,0,NONE,0.0,-1.35,1.35,0.67,0.13,0.5,False
EMP11195,USER,0,NONE,-0.67,-0.67,-1.35,0.0,-0.71,0.5,False
EMP11406,USER,0,NONE,0.0,-0.67,-0.67,0.0,-0.34,0.5,False
EMP10314,USER,0,NONE,-1.35,-2.02,1.35,-1.35,-0.84,0.5,False
EMP10102,USER,0,NONE,-0.67,-0.67,-1.35,0.0,-0.71,0.5,False
EMP11437,USER,0,NONE,0.67,-1.35,0.0,0.0,-0.14,0.5,False
EMP12959,USER,0,NONE,0.67,-1.35,0.0,0.0,-0.14,0.5,False
EMP11221,USER,0,NONE,0.67,0.0,0.0,0.0,0.2,0.5,False
EMP12935,USER,0,NONE,-0.67,-2.02,0.67,-1.35,-0.81,0.5,False
EMP10705,USER,0,NONE,0.0,1.35,0.67,1.35,0.78,0.5,False
EMP12234,USER,0,NONE,-0.67,-1.35,0.67,-1.35,-0.64,0.5,False
EMP11973,USER,1,ENDPOINT,-0.67,-1.35,2.7,0.0,0.14,0.65,False
EMP11517,USER,0,NONE,0.0,0.0,1.35,0.0,0.34,0.5,False
EMP12976,USER,0,NONE,1.35,1.35,-0.67,1.35,0.85,0.5,False
EMP12232,USER,0,NONE,-0.67,-0.67,-0.67,-1.35,-0.81,0.5,False
EMP10178,USER,0,NONE,0.0,-2.02,0.67,0.0,-0.34,0.5,False
EMP12030,USER,2,AUTHENTICATION|OFF_HOURS,3.37,1.35,1.12,3.37,2.3,0.8,True
EMP12926,USER,0,NONE,-1.35,-2.02,-0.67,-1.35,-1.35,0.5,False
EMP10611,USER,0,NONE,0.67,0.67,-1.35,-0.67,-0.1,0.5,False
EMP10679,USER,0,NONE,0.0,0.0,0.0,-1.35,-0.27,0.5,False
EMP10152,USER,3,AUTHENTICATION|NETWORK_IP|OFF_HOURS,13.49,20.0,-0.67,20.0,12.88,0.95,True
EMP12484,USER,0,NONE,0.67,-1.35,-0.67,0.67,-0.17,0.5,False
EMP11025,USER,1,ENDPOINT,-0.67,-0.67,5.4,-0.67,0.85,0.65,False
EMP10907,USER,1,ENDPOINT,0.0,-0.67,2.02,0.0,0.34,0.65,False
EMP10254,USER,0,NONE,-0.67,0.67,0.67,0.67,0.27,0.5,False
EMP12416,USER,0,NONE,-0.67,-0.67,0.0,0.0,-0.37,0.5,False
EMP12332,USER,0,NONE,-0.67,-0.67,0.67,-1.35,-0.47,0.5,False
EMP10346,USER,0,NONE,-0.67,-0.67,0.0,0.0,-0.37,0.5,False
EMP10299,USER,0,NONE,0.67,0.67,0.0,0.67,0.5,0.5,False
EMP12045,USER,0,NONE,-0.67,-1.35,0.0,-2.02,-0.94,0.5,False
EMP11295,USER,0,NONE,-0.67,-1.35,0.67,-0.67,-0.51,0.5,False
EMP11357,USER,3,AUTHENTICATION|NETWORK_IP|OFF_HOURS,2.02,2.02,0.0,5.4,2.19,0.95,True
EMP11422,USER,0,NONE,0.0,0.0,0.22,0.0,0.06,0.5,False
EMP12482,USER,0,NONE,0.0,0.0,1.35,-0.67,0.2,0.5,False
EMP10139,USER,0,NONE,-0.67,0.0,-0.67,-0.67,-0.5,0.5,False
EMP12603,USER,3,AUTHENTICATION|NETWORK_IP|OFF_HOURS,10.79,13.49,1.35,20.0,10.95,0.95,True
EMP10246,USER,0,NONE,0.67,-0.67,-0.67,-0.67,-0.27,0.5,False
EMP10900,USER,3,AUTHENTICATION|NETWORK_IP|OFF_HOURS,14.16,20.0,0.0,19.56,13.16,0.95,True
EMP12130,USER,0,NONE,0.0,-2.02,-1.12,-2.02,-1.19,0.5,False
EMP11681,USER,1,ENDPOINT,0.0,-0.67,2.02,-1.35,0.07,0.65,False
EMP12334,USER,0,NONE,-1.35,-0.67,-0.67,-2.02,-1.14,0.5,False
EMP10889,USER,0,NONE,-0.67,-0.67,0.0,-1.35,-0.64,0.5,False
EMP11268,USER,0,NONE,0.67,-2.02,-0.67,-1.35,-0.74,0.5,False
EMP11926,USER,0,NONE,0.0,-1.35,0.0,1.35,-0.07,0.5,False
EMP11620,USER,0,NONE,-0.67,0.0,-1.35,-0.67,-0.67,0.5,False
EMP10700,USER,0,NONE,0.67,-0.67,0.0,-0.67,-0.1,0.5,False
EMP11061,USER,1,ENDPOINT,0.0,-0.67,2.7,-0.67,0.37,0.65,False
EMP10485,USER,1,ENDPOINT,1.35,0.0,2.47,0.67,1.16,0.65,False
EMP11356,USER,0,NONE,0.0,0.0,-2.02,-0.67,-0.64,0.5,False
EMP12310,USER,0,NONE,-1.35,-2.02,0.67,-2.02,-1.15,0.5,False
EMP12181,USER,0,NONE,-0.67,-0.67,0.0,-1.35,-0.64,0.5,False
EMP10761,USER,1,ENDPOINT,-0.67,-0.67,2.02,-0.67,0.0,0.65,False
EMP10746,USER,3,AUTHENTICATION|NETWORK_IP|OFF_HOURS,16.19,20.0,1.35,20.0,14.19,0.95,True
EMP10321,USER,0,NONE,-0.67,0.67,0.0,0.67,0.1,0.5,False
EMP12707,USER,0,NONE,1.35,1.35,-0.67,0.0,0.58,0.5,False
EMP10188,USER,0,NONE,0.0,0.0,-0.67,-0.67,-0.3,0.5,False
EMP10772,USER,3,AUTHENTICATION|NETWORK_IP|OFF_HOURS,16.86,20.0,-0.67,20.0,13.89,0.95,True
EMP12496,USER,0,NONE,0.0,0.67,-1.35,1.35,0.1,0.5,False
EMP11451,USER,0,NONE,-0.67,-1.35,-2.02,-0.67,-1.18,0.5,False
EMP12354,USER,0,NONE,0.67,0.67,0.67,0.67,0.67,0.5,False
EMP10410,USER,0,NONE,-1.35,-0.67,1.35,-1.35,-0.51,0.5,False
EMP11727,USER,2,AUTHENTICATION|OFF_HOURS,2.7,0.0,1.35,2.02,1.55,0.8,True
EMP12852,USER,0,NONE,0.67,0.67,1.35,-0.67,0.57,0.5,False
EMP12216,USER,0,NONE,0.0,-0.67,-0.22,-1.35,-0.49,0.5,False
EMP11398,USER,0,NONE,0.0,1.35,-1.35,-1.35,-0.27,0.5,False
EMP11361,USER,0,NONE,-0.67,-2.02,0.67,0.67,-0.4,0.5,False
EMP11657,USER,0,NONE,0.0,-0.67,0.0,0.0,-0.17,0.5,False
EMP10051,USER,1,AUTHENTICATION,2.02,0.0,0.0,0.0,0.61,0.65,False
EMP11624,USER,0,NONE,-0.67,-0.67,0.0,-0.67,-0.5,0.5,False
EMP10063,USER,3,AUTHENTICATION|NETWORK_IP|OFF_HOURS,14.84,19.56,0.67,19.56,13.42,0.95,True
EMP12789,USER,0,NONE,-1.35,-2.02,-0.67,-2.02,-1.48,0.5,False
EMP12553,USER,0,NONE,0.0,-0.67,0.67,0.0,0.0,0.5,False
EMP12530,USER,0,NONE,0.0,-0.67,1.35,0.0,0.17,0.5,False
EMP11090,USER,3,AUTHENTICATION|NETWORK_IP|OFF_HOURS,11.47,20.0,0.0,20.0,12.44,0.95,True
EMP11465,USER,0,NONE,-0.67,-2.02,-0.67,-2.02,-1.28,0.5,False
EMP11896,USER,0,NONE,0.0,-1.35,-0.67,-0.67,-0.64,0.5,False
EMP10052,USER,3,AUTHENTICATION|NETWORK_IP|OFF_HOURS,12.14,20.0,1.35,20.0,12.98,0.95,True
EMP12807,USER,1,AUTHENTICATION,2.02,0.0,-0.67,0.0,0.44,0.65,False
EMP12763,USER,0,NONE,1.35,-0.67,0.0,0.0,0.24,0.5,False
EMP12551,USER,0,NONE,-0.67,-1.35,0.67,-0.67,-0.51,0.5,False
EMP12864,USER,0,NONE,0.67,-0.67,0.67,0.0,0.2,0.5,False
