entity_id,entity_type,event_id,source_dataset,source_record_id,event_category,event_timestamp,severity,action,data_quality_status,resolution_confidence
VDR-11889,HOST,IAM00008974,IAM,IAM00008974,AUTHENTICATION,2026-05-09 12:43:00,High,LOGIN_SUCCESS,UNKNOWN,EXACT
EMP10918,USER,IAM00017969,IAM,IAM00017969,AUTHENTICATION,2026-09-09 01:56:18,High,LOGIN_FAILED,UNKNOWN,EXACT
WS-10629,HOST,IAM00015700,IAM,IAM00015700,AUTHENTICATION,2026-04-09 04:04:00,High,LOGIN_FAILED,UNKNOWN,EXACT
LPT-10271,HOST,IAM00016756,IAM,IAM00016756,AUTHENTICATION,2026-09-09 00:00:00,High,OTHER,UNKNOWN,EXACT
LPT-10122,HOST,IAM00009357,IAM,IAM00009357,AUTHENTICATION,2026-08-03 00:01:59,Medium,LOGIN_FAILED,UNKNOWN,EXACT
LPT-12961,HOST,IAM00014775,IAM,IAM00014775,AUTHENTICATION,2026-08-26 21:29:16,Info,LOGIN_SUCCESS,IMPUTED,EXACT
EMP10289,USER,IAM00004189,IAM,IAM00004189,AUTHENTICATION,2026-10-08 00:00:00,Low,LOGIN_SUCCESS,VALID,EXACT
VDR-11251,HOST,IAM00006152,IAM,IAM00006152,AUTHENTICATION,2026-08-22 00:00:00,High,LOGIN_FAILED,UNKNOWN,EXACT
VDR-11436,HOST,IAM00007817,IAM,IAM00007817,AUTHENTICATION,2026-08-13 10:49:00,Info,LOGIN_FAILED,UNKNOWN,EXACT
EMP10912,USER,IAM00019438,IAM,IAM00019438,AUTHENTICATION,2026-09-01 21:04:48,Medium,LOGIN_FAILED,UNKNOWN,EXACT
VDR-11632,HOST,IAM00019877,IAM,IAM00019877,AUTHENTICATION,2026-08-15 11:40:14,Info,LOGIN_FAILED,IMPUTED,EXACT
EMP12973,USER,IAM00010429,IAM,IAM00010429,AUTHENTICATION,2026-05-09 00:00:00,High,LOGIN_SUCCESS,REPAIRED,EXACT
LPT-12622,HOST,IAM00019043,IAM,IAM00019043,AUTHENTICATION,2026-09-05 07:18:17,Medium,LOGIN_FAILED,VALID,EXACT
EMP12505,USER,IAM00012228,IAM,IAM00012228,AUTHENTICATION,2026-01-09 20:44:00,Medium,OTHER,REPAIRED,EXACT
WS-12175,HOST,IAM00018081,IAM,IAM00018081,AUTHENTICATION,2026-08-04 08:56:32,High,LOGIN_SUCCESS,UNKNOWN,EXACT
LPT-12704,HOST,IAM00015178,IAM,IAM00015178,AUTHENTICATION,2026-09-06 21:47:12,Medium,LOGIN_FAILED,REPAIRED,EXACT
WS-10486,HOST,IAM00001123,IAM,IAM00001123,AUTHENTICATION,2026-08-26 19:16:45,High,LOGIN_FAILED,VALID,EXACT
EMP10726,USER,IAM00008713,IAM,IAM00008713,AUTHENTICATION,Unknown,Info,LOGIN_SUCCESS,UNKNOWN,EXACT
LPT-12197,HOST,IAM00007968,IAM,IAM00007968,AUTHENTICATION,2026-08-13 08:36:28,High,LOGIN_FAILED,VALID,EXACT
EMP12144,USER,IAM00000908,IAM,IAM00000908,AUTHENTICATION,2026-08-31 18:20:13,Low,LOGIN_FAILED,UNKNOWN,EXACT
LPT-12056,HOST,IAM00013125,IAM,IAM00013125,AUTHENTICATION,Unknown,Low,OTHER,UNKNOWN,EXACT
EMP10317,USER,IAM00014481,IAM,IAM00014481,AUTHENTICATION,Unknown,Info,LOGIN_FAILED,UNKNOWN,EXACT
VDR-10795,HOST,IAM00001695,IAM,IAM00001695,AUTHENTICATION,2026-09-06 14:22:36,Medium,LOGIN_SUCCESS,REPAIRED,EXACT
EMP11411,USER,IAM00008500,IAM,IAM00008500,AUTHENTICATION,2026-08-23 00:00:00,High,LOGIN_SUCCESS,UNKNOWN,EXACT
EMP11001,USER,IAM00016398,IAM,IAM00016398,AUTHENTICATION,2026-08-26 14:42:42,High,LOGIN_SUCCESS,UNKNOWN,EXACT
WS-10540,HOST,IAM00006344,IAM,IAM00006344,AUTHENTICATION,2026-08-30 13:44:08,High,LOGIN_SUCCESS,REPAIRED,EXACT
WS-11269,HOST,IAM00019876,IAM,IAM00019876,AUTHENTICATION,2026-08-05 06:45:32,Medium,LOGIN_SUCCESS,UNKNOWN,EXACT
VDR-11877,HOST,IAM00016832,IAM,IAM00016832,AUTHENTICATION,2026-08-26 23:20:00,High,LOGIN_SUCCESS,UNKNOWN,EXACT
WS-12179,HOST,IAM00017893,IAM,IAM00017893,AUTHENTICATION,2026-08-13 00:00:00,Medium,LOGIN_SUCCESS,UNKNOWN,EXACT
LPT-11788,HOST,IAM00011019,IAM,IAM00011019,AUTHENTICATION,2026-08-02 17:40:34,Info,LOGIN_SUCCESS,REPAIRED,EXACT
LPT-11178,HOST,IAM00002644,IAM,IAM00002644,AUTHENTICATION,2026-08-21 08:44:00,Info,LOGIN_FAILED,IMPUTED,EXACT
VDR-11559,HOST,IAM00018557,IAM,IAM00018557,AUTHENTICATION,2026-09-02 00:45:04,Low,LOGIN_SUCCESS,REPAIRED,EXACT
WS-10606,HOST,IAM00000277,IAM,IAM00000277,AUTHENTICATION,2026-08-17 15:27:14,High,LOGIN_SUCCESS,UNKNOWN,EXACT
WS-11829,HOST,IAM00000759,IAM,IAM00000759,AUTHENTICATION,2026-08-27 16:20:33,Info,LOGIN_SUCCESS,REPAIRED,EXACT
WS-10280,HOST,IAM00004991,IAM,IAM00004991,AUTHENTICATION,Unknown,Low,LOGIN_SUCCESS,UNKNOWN,EXACT
VDR-10585,HOST,IAM00003438,IAM,IAM00003438,AUTHENTICATION,2026-08-30 05:51:48,Medium,LOGIN_SUCCESS,VALID,EXACT
VDR-10340,HOST,IAM00000401,IAM,IAM00000401,AUTHENTICATION,Unknown,Low,LOGIN_SUCCESS,UNKNOWN,EXACT
EMP12111,USER,IAM00017849,IAM,IAM00017849,AUTHENTICATION,Unknown,Medium,LOGIN_SUCCESS,UNKNOWN,EXACT
EMP10912,USER,IAM00010888,IAM,IAM00010888,AUTHENTICATION,2026-08-13 18:35:41,High,LOGIN_FAILED,REPAIRED,EXACT
EMP12505,USER,IAM00005264,IAM,IAM00005264,AUTHENTICATION,2026-08-17 18:54:33,High,LOGIN_FAILED,REPAIRED,EXACT
VDR-12775,HOST,IAM00013994,IAM,IAM00013994,AUTHENTICATION,2026-08-17 00:00:00,High,LOGIN_FAILED,REPAIRED,EXACT
EMP10746,USER,IAM00019608,IAM,IAM00019608,AUTHENTICATION,2026-07-09 05:49:00,Low,LOGIN_SUCCESS,REPAIRED,EXACT
WS-12550,HOST,IAM00004561,IAM,IAM00004561,AUTHENTICATION,2026-09-03 06:24:05,High,LOGIN_SUCCESS,UNKNOWN,EXACT
VDR-12079,HOST,IAM00000365,IAM,IAM00000365,AUTHENTICATION,2026-08-06 23:24:39,Low,LOGIN_FAILED,UNKNOWN,EXACT
WS-10554,HOST,IAM00000883,IAM,IAM00000883,AUTHENTICATION,2026-08-31 13:23:00,Medium,LOGIN_FAILED,REPAIRED,EXACT
EMP10843,USER,IAM00005465,IAM,IAM00005465,AUTHENTICATION,Unknown,Medium,LOGIN_SUCCESS,UNKNOWN,EXACT
VDR-12777,HOST,IAM00010074,IAM,IAM00010074,AUTHENTICATION,2026-08-26 14:04:32,High,LOGIN_SUCCESS,UNKNOWN,EXACT
LPT-10356,HOST,IAM00006398,IAM,IAM00006398,AUTHENTICATION,2026-01-08 05:43:00,Info,LOGIN_SUCCESS,UNKNOWN,EXACT
LPT-12061,HOST,IAM00007012,IAM,IAM00007012,AUTHENTICATION,2026-08-06 02:27:35,Medium,LOGIN_SUCCESS,REPAIRED,EXACT
EMP10781,USER,IAM00014128,IAM,IAM00014128,AUTHENTICATION,2026-10-08 09:14:00,High,LOGIN_SUCCESS,VALID,EXACT
VDR-12353,HOST,IAM00003459,IAM,IAM00003459,AUTHENTICATION,2026-08-27 13:30:00,Info,LOGIN_SUCCESS,UNKNOWN,EXACT
LPT-10525,HOST,IAM00014663,IAM,IAM00014663,AUTHENTICATION,2026-08-17 10:16:23,Info,LOGIN_SUCCESS,REPAIRED,EXACT
EMP12579,USER,IAM00014377,IAM,IAM00014377,AUTHENTICATION,2026-08-19 00:03:30,High,LOGIN_SUCCESS,IMPUTED,EXACT
VDR-12157,HOST,IAM00004374,IAM,IAM00004374,AUTHENTICATION,2026-08-29 12:39:01,Low,OTHER,UNKNOWN,EXACT
LPT-12197,HOST,IAM00015556,IAM,IAM00015556,AUTHENTICATION,Unknown,Medium,LOGIN_SUCCESS,UNKNOWN,EXACT
LPT-10320,HOST,IAM00008339,IAM,IAM00008339,AUTHENTICATION,2026-08-13 14:26:18,Low,LOGIN_SUCCESS,UNKNOWN,EXACT
EMP11232,USER,IAM00015981,IAM,IAM00015981,AUTHENTICATION,Unknown,Low,LOGIN_FAILED,UNKNOWN,EXACT
LPT-12027,HOST,IAM00016222,IAM,IAM00016222,AUTHENTICATION,2026-08-20 22:24:00,Low,LOGIN_SUCCESS,UNKNOWN,EXACT
VDR-11821,HOST,IAM00008614,IAM,IAM00008614,AUTHENTICATION,2026-08-12 00:00:00,High,OTHER,UNKNOWN,EXACT
EMP12235,USER,IAM00019041,IAM,IAM00019041,AUTHENTICATION,Unknown,Medium,LOGIN_FAILED,UNKNOWN,EXACT
LPT-12767,HOST,IAM00016213,IAM,IAM00016213,AUTHENTICATION,2026-08-28 01:49:00,High,LOGIN_SUCCESS,REPAIRED,EXACT
WS-11104,HOST,IAM00013290,IAM,IAM00013290,AUTHENTICATION,2026-08-24 03:27:56,Medium,OTHER,REPAIRED,EXACT
EMP11359,USER,IAM00019419,IAM,IAM00019419,AUTHENTICATION,Unknown,High,LOGIN_FAILED,UNKNOWN,EXACT
EMP12418,USER,IAM00005379,IAM,IAM00005379,AUTHENTICATION,2026-05-08 06:46:00,Info,LOGIN_FAILED,UNKNOWN,EXACT
LPT-11321,HOST,IAM00012904,IAM,IAM00012904,AUTHENTICATION,2026-09-07 20:27:22,Low,LOGIN_SUCCESS,UNKNOWN,EXACT
EMP12546,USER,IAM00000582,IAM,IAM00000582,AUTHENTICATION,2026-08-01 09:18:26,Info,LOGIN_FAILED,UNKNOWN,EXACT
