user_id,username,department,global_behavior_score,dept_peer_behavior_score,peer_deviation_delta,global_vs_peer_behavior,peer_outlier_flag
EMP12741,omkaar.chana52,Supply Chain,0.8431,1.0119,0.5059,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11307,ethan.narasimhan97,Legal,0.5059,0.6745,0.1687,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11601,ethan.choudhry47,Marketing,0.3372,-0.1686,-0.0562,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12621,vedant_panchal60,Support,0.0,-0.8243,-0.371,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12029,gayathri.mohanty65,R&D,0.0,-1.0119,-0.5059,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11950,garima.chaudhary44,Call Center,0.1686,-0.3372,-0.1686,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12718,vrishti.dewan18,Compliance,0.7307,0.7871,0.3935,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10184,Unknown,IT,0.3372,-0.3373,-0.1687,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12400,peter.sama77,IT,1.0118,1.0116,0.5059,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10194,ayush.dua87,R&D,12.1408,23.2729,11.6349,ANOMALOUS_GLOBALLY_ANOMALOUS_PEER,True
EMP12798,abhimanyu.trivedi4,Sales,0.5059,0.3374,0.1687,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11195,christopher.toor37,Legal,0.0,-1.3482,-0.3372,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11406,urishilla.bhatt88,Sales,0.0,-0.6745,-0.3372,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10314,girindra.dhaliwal46,R&D,0.3372,-0.3374,-0.1687,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10102,gaurangi.samra66,Finance,0.0,-1.124,-0.4216,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11437,waida.anand56,Operations,0.3372,0.0,0.0,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12959,libni.lala75,Sales,0.1686,-0.3372,-0.1686,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11221,qabil.lanka74,Legal,0.2698,-0.2695,-0.0674,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12935,abha.naik17,Procurement,0.3372,0.0,0.0,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10705,bimala.raval96,Marketing,0.8431,1.3493,0.4497,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12234,tristan.ravi53,Operations,0.1686,-0.3372,-0.1686,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11973,edhitha.pathak81,R&D,0.6745,0.3372,0.1686,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11517,anita.dutt25,Human Resources,0.458,0.222,0.0827,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12976,aayush.koshy48,Sales,1.0118,1.3494,0.6746,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12232,Unknown,Operations,0.0,-0.6745,-0.3372,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10178,tanveer.ghose11,Operations,0.3794,0.0844,0.0422,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12030,urishilla.dugar5,Customer Support,2.3046,4.7224,1.9674,ANOMALOUS_GLOBALLY_ANOMALOUS_PEER,True
EMP12926,ronith.bhatti96,Sales,0.0,-0.6745,-0.3372,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10611,Unknown,Procurement,0.4384,0.2024,0.1012,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10679,ira.khanna17,IT Support,0.0797,-0.976,-0.2575,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10152,finn.vig49,Support,13.3724,28.8893,13.0015,ANOMALOUS_GLOBALLY_ANOMALOUS_PEER,True
EMP12484,aahana.seth4,Sales,0.3372,0.0,0.0,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11025,darsh.patla51,Finance,1.349,2.4724,0.9274,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10907,sneha.loke46,Finance,0.5621,0.3746,0.1405,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10254,wriddhish_arora70,Finance,0.5059,0.2247,0.0843,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12416,harish.bhatia99,Legal,0.0,-1.3482,-0.3372,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12332,shravya.mand51,Human Resources,0.2067,-0.4525,-0.1686,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10346,dipta_oza8,Legal,0.0,-1.3482,-0.3372,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10299,anmol.bhatt26,Procurement,0.5059,0.3374,0.1687,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12045,girik.gaba54,Innovation,0.0859,-0.8401,-0.42,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11295,utkarsh.bakshi57,Legal,0.1686,-0.6741,-0.1686,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11357,nandini.buch11,Compliance,2.3607,4.0475,2.0235,ANOMALOUS_GLOBALLY_ANOMALOUS_PEER,True
EMP11422,rishi.contractor33,Customer Support,0.0562,-0.6745,-0.281,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12482,chakrika.nagar94,Marketing,0.3372,-0.1686,-0.0562,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10139,isaac.dugar28,Legal,0.0,-1.3482,-0.3372,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12603,gautam.dass68,Finance,11.4077,29.2886,10.9861,ANOMALOUS_GLOBALLY_ANOMALOUS_PEER,True
EMP10246,rohan.dash48,Legal,0.2698,-0.2695,-0.0674,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10900,lohit.reddy93,Procurement,13.4311,26.1913,13.0939,ANOMALOUS_GLOBALLY_ANOMALOUS_PEER,True
EMP12130,krishna.kata74,Customer Support,0.05,-0.6894,-0.2872,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11681,ayushman.varty42,Sales,0.6745,0.6747,0.3373,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12334,bahadurjit.sridhar62,Sales,0.0,-0.6745,-0.3372,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10889,chanchal.tank46,Marketing,0.0,-1.1804,-0.3934,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11268,krishna.babu43,Innovation,0.3044,-0.4031,-0.2015,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11926,chatresh.varty75,Finance,0.3372,-0.225,-0.0844,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11620,ira.choudhury44,R&D,0.0,-1.0119,-0.5059,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10700,charles.brar31,Call Center,0.1704,-0.3336,-0.1668,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11061,ekansh.ahuja25,Marketing,0.6745,0.8434,0.2811,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10485,hardik.kuruvilla24,Customer Support,1.1242,1.8891,0.787,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11356,jeet.tara32,Legal,0.1686,-0.6741,-0.1686,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12310,zashil.chaudhari74,Operations,0.1686,-0.3372,-0.1686,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12181,hemal.kohli58,Marketing,0.0,-1.1804,-0.3934,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10761,dayita.dasgupta48,R&D,0.5059,0.0,0.0,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10746,oviya.acharya25,Human Resources,14.3842,37.6,14.0089,ANOMALOUS_GLOBALLY_ANOMALOUS_PEER,True
EMP10321,kalpit.mody99,R&D,0.3372,-0.3374,-0.1687,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12707,indira.pant51,Marketing,0.6745,0.8434,0.2811,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10188,wakeeta.srivastava97,Sales,0.0,-0.6745,-0.3372,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10772,gagan_bhandari75,Operations,14.2156,27.7605,13.8784,ANOMALOUS_GLOBALLY_ANOMALOUS_PEER,True
EMP12496,anusha.bawa86,Supply Chain,0.5059,0.3374,0.1687,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11451,arunima.dube10,Operations,0.0,-0.6745,-0.3372,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12354,gagan.raman49,Operations,0.6745,0.6747,0.3373,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10410,onveer.om63,Supply Chain,0.3372,0.0,0.0,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11727,bhavya.sem13,IT,1.6188,2.2254,1.1129,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12852,warinder.wali82,R&D,0.6745,0.3372,0.1686,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12216,urvashi.handa11,Customer Support,0.0,-0.8094,-0.3372,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11398,yauvani_chacko81,Human Resources,0.3372,-0.1023,-0.0381,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11361,inaya.sridhar38,Human Resources,0.3372,-0.1023,-0.0381,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11657,yadavi.balay60,Sales,0.1686,-0.3372,-0.1686,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10051,ekbal.malhotra95,Finance,0.5059,0.2247,0.0843,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP11624,bishakha_ghose98,Sales,0.0,-0.6745,-0.3372,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP10063,ira.tara4,Human Resources,13.6584,35.6519,13.2831,ANOMALOUS_GLOBALLY_ANOMALOUS_PEER,True
EMP12789,tamanna.kala64,Legal,0.0,-1.3482,-0.3372,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12553,tanish.kurian86,IT,0.1686,-0.6745,-0.3373,NORMAL_GLOBALLY_NORMAL_PEER,False
EMP12530,wazir.das67,Human Resources,0.458,0.222,0.0827,NORMAL_GLOBALLY_NORMAL_PEER,False
