entity_id,entity_type,traceone_risk_score,auth_contribution,network_contribution,endpoint_contribution,operational_contribution,multi_signal_boost
EMP12741,USER,21.08,21.08,0.0,0.0,0.0,0.0
EMP11307,USER,12.65,8.43,0.0,0.0,4.22,0.0
EMP11601,USER,8.43,0.0,0.0,8.43,0.0,0.0
EMP12621,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP12029,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP11950,USER,4.22,4.22,0.0,0.0,0.0,0.0
EMP12718,USER,18.27,14.05,0.0,4.22,0.0,0.0
EMP10184,USER,8.43,0.0,0.0,0.0,8.43,0.0
EMP12400,USER,25.29,8.43,8.43,0.0,8.43,0.0
EMP10194,USER,100.0,37.5,37.5,12.65,37.5,41.72
EMP12798,USER,12.65,0.0,0.0,8.43,4.22,0.0
EMP11195,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP11406,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP10314,USER,8.43,0.0,0.0,8.43,0.0,0.0
EMP10102,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP11437,USER,8.43,8.43,0.0,0.0,0.0,0.0
EMP12959,USER,4.22,4.22,0.0,0.0,0.0,0.0
EMP11221,USER,6.74,6.74,0.0,0.0,0.0,0.0
EMP12935,USER,8.43,4.22,0.0,4.22,0.0,0.0
EMP10705,USER,21.08,0.0,8.43,4.22,8.43,0.0
EMP12234,USER,4.22,0.0,0.0,4.22,0.0,0.0
EMP11973,USER,16.86,0.0,0.0,16.86,0.0,0.0
EMP11517,USER,11.45,3.02,0.0,8.43,0.0,0.0
EMP12976,USER,25.29,8.43,8.43,0.0,8.43,0.0
EMP12232,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP10178,USER,9.48,5.27,0.0,4.22,0.0,0.0
EMP12030,USER,72.02,26.35,10.54,8.78,26.35,14.4
EMP12926,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP10611,USER,10.96,6.74,4.22,0.0,0.0,0.0
EMP10679,USER,1.99,1.99,0.0,0.0,0.0,0.0
EMP10152,USER,100.0,37.5,37.5,0.0,37.5,37.5
EMP12484,USER,8.43,4.22,0.0,0.0,4.22,0.0
EMP11025,USER,25.0,0.0,0.0,25.0,0.0,0.0
EMP10907,USER,14.05,1.41,0.0,12.65,0.0,0.0
EMP10254,USER,12.65,0.0,4.22,4.22,4.22,0.0
EMP12416,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP12332,USER,5.17,0.95,0.0,4.22,0.0,0.0
EMP10346,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP10299,USER,12.65,4.22,4.22,0.0,4.22,0.0
EMP12045,USER,2.15,2.15,0.0,0.0,0.0,0.0
EMP11295,USER,4.22,0.0,0.0,4.22,0.0,0.0
EMP11357,USER,50.29,12.65,12.65,0.0,25.0,0.0
EMP11422,USER,1.41,0.0,0.0,1.41,0.0,0.0
EMP12482,USER,8.43,0.0,0.0,8.43,0.0,0.0
EMP10139,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP12603,USER,100.0,37.5,37.5,12.65,37.5,41.72
EMP10246,USER,6.74,6.74,0.0,0.0,0.0,0.0
EMP10900,USER,100.0,37.5,37.5,0.0,37.5,37.5
EMP12130,USER,1.25,1.25,0.0,0.0,0.0,0.0
EMP11681,USER,16.86,4.22,0.0,12.65,0.0,0.0
EMP12334,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP10889,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP11268,USER,7.61,7.61,0.0,0.0,0.0,0.0
EMP11926,USER,8.43,0.0,0.0,0.0,8.43,0.0
EMP11620,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP10700,USER,4.26,4.26,0.0,0.0,0.0,0.0
EMP11061,USER,16.86,0.0,0.0,16.86,0.0,0.0
EMP10485,USER,28.1,8.43,0.0,15.46,4.22,0.0
EMP11356,USER,4.22,4.22,0.0,0.0,0.0,0.0
EMP12310,USER,4.22,0.0,0.0,4.22,0.0,0.0
EMP12181,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP10761,USER,12.65,0.0,0.0,12.65,0.0,0.0
EMP10746,USER,100.0,37.5,37.5,12.65,37.5,41.72
EMP10321,USER,8.43,0.0,4.22,0.0,4.22,0.0
EMP12707,USER,16.86,8.43,8.43,0.0,0.0,0.0
EMP10188,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP10772,USER,100.0,37.5,37.5,0.0,37.5,37.5
EMP12496,USER,12.65,0.0,4.22,0.0,8.43,0.0
EMP11451,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP12354,USER,16.86,4.22,4.22,4.22,4.22,0.0
EMP10410,USER,8.43,0.0,0.0,8.43,0.0,0.0
EMP11727,USER,40.47,19.39,0.0,8.43,12.65,0.0
EMP12852,USER,16.86,4.22,4.22,8.43,0.0,0.0
EMP12216,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP11398,USER,8.43,0.0,8.43,0.0,0.0,0.0
EMP11361,USER,8.43,0.0,0.0,4.22,4.22,0.0
EMP11657,USER,4.22,4.22,0.0,0.0,0.0,0.0
EMP10051,USER,12.65,12.65,0.0,0.0,0.0,0.0
EMP11624,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP10063,USER,100.0,37.5,37.5,6.32,37.5,39.61
EMP12789,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP12553,USER,4.22,0.0,0.0,4.22,0.0,0.0
EMP12530,USER,11.45,3.02,0.0,8.43,0.0,0.0
EMP11090,USER,100.0,37.5,37.5,0.0,37.5,37.5
EMP11465,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP11896,USER,1.41,1.41,0.0,0.0,0.0,0.0
EMP10052,USER,100.0,37.5,37.5,12.65,37.5,41.72
EMP12807,USER,12.65,12.65,0.0,0.0,0.0,0.0
EMP12763,USER,13.7,13.7,0.0,0.0,0.0,0.0
EMP12551,USER,4.22,0.0,0.0,4.22,0.0,0.0
EMP12864,USER,8.43,4.22,0.0,4.22,0.0,0.0
EMP10544,USER,21.08,4.22,0.0,0.0,16.86,0.0
EMP12948,USER,2.11,2.11,0.0,0.0,0.0,0.0
EMP10450,USER,4.22,4.22,0.0,0.0,0.0,0.0
EMP12515,USER,12.65,0.0,0.0,12.65,0.0,0.0
EMP10044,USER,100.0,37.5,37.5,12.65,37.5,41.72
EMP11001,USER,100.0,37.5,37.5,0.0,37.5,37.5
EMP11831,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP10829,USER,4.22,0.0,0.0,0.0,4.22,0.0
EMP10598,USER,33.73,0.0,16.86,4.22,12.65,0.0
EMP10408,USER,100.0,37.5,37.5,0.0,37.5,37.5
EMP12917,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP10256,USER,8.43,0.0,0.0,8.43,0.0,0.0
EMP12028,USER,21.08,0.0,8.43,0.0,12.65,0.0
EMP12303,USER,6.32,6.32,0.0,0.0,0.0,0.0
EMP11837,USER,4.22,0.0,0.0,0.0,4.22,0.0
EMP11702,USER,8.43,4.22,4.22,0.0,0.0,0.0
EMP12490,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP11662,USER,21.08,0.0,8.43,12.65,0.0,0.0
EMP10144,USER,8.43,0.0,0.0,8.43,0.0,0.0
EMP12090,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP11292,USER,4.22,4.22,0.0,0.0,0.0,0.0
EMP12155,USER,42.16,8.43,12.65,8.43,12.65,0.0
EMP10416,USER,1.41,1.41,0.0,0.0,0.0,0.0
EMP10929,USER,8.43,4.22,0.0,4.22,0.0,0.0
EMP12022,USER,21.08,0.0,8.43,0.0,12.65,0.0
EMP10170,USER,12.65,12.65,0.0,0.0,0.0,0.0
EMP11125,USER,12.65,0.0,0.0,12.65,0.0,0.0
EMP10567,USER,4.22,4.22,0.0,0.0,0.0,0.0
EMP11590,USER,0.0,0.0,0.0,0.0,0.0,0.0
EMP12673,USER,21.08,0.0,0.0,16.86,4.22,0.0
EMP10134,USER,8.43,0.0,0.0,4.22,4.22,0.0
EMP11717,USER,7.59,7.59,0.0,0.0,0.0,0.0
EMP10642,USER,21.08,0.0,8.43,0.0,12.65,0.0
EMP11689,USER,8.43,4.22,4.22,0.0,0.0,0.0
EMP12745,USER,30.91,16.86,0.0,9.84,4.22,0.0
EMP10554,USER,13.17,13.17,0.0,0.0,0.0,0.0
EMP12174,USER,8.43,0.0,0.0,8.43,0.0,0.0
EMP11538,USER,20.23,11.8,0.0,8.43,0.0,0.0
EMP10999,USER,12.65,0.0,0.0,0.0,12.65,0.0
EMP10291,USER,100.0,37.5,37.5,6.32,37.5,39.61
EMP11338,USER,8.43,0.0,0.0,8.43,0.0,0.0
EMP12247,USER,8.43,0.0,0.0,0.0,8.43,0.0
