entity_id,entity_type,hypothesis,traceone_risk_score,confidence_score,supporting_signals,counter_evidence,limitations
EMP12741,USER,NO_ACTIONABLE_HYPOTHESIS,21.08,0.49,"Auth:21.08, Net:0.0, Ep:0.0, Ops:0.0",INSUFFICIENT_BASELINE_HISTORY; ZERO_MFA_FAILURES_OBSERVED,"Observed events: 2, TS Quality: 1.0"
EMP11307,USER,NO_ACTIONABLE_HYPOTHESIS,12.65,0.92,"Auth:8.43, Net:0.0, Ep:0.0, Ops:4.22",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 10, TS Quality: 0.8"
EMP11601,USER,NO_ACTIONABLE_HYPOTHESIS,8.43,0.35,"Auth:0.0, Net:0.0, Ep:8.43, Ops:0.0",INSUFFICIENT_BASELINE_HISTORY; ZERO_MFA_FAILURES_OBSERVED,"Observed events: 4, TS Quality: 0.5"
EMP12621,USER,NO_ACTIONABLE_HYPOTHESIS,0.0,0.765,"Auth:0.0, Net:0.0, Ep:0.0, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 10, TS Quality: 0.6"
EMP12029,USER,NO_ACTIONABLE_HYPOTHESIS,0.0,0.45,"Auth:0.0, Net:0.0, Ep:0.0, Ops:0.0",INSUFFICIENT_BASELINE_HISTORY; ZERO_MFA_FAILURES_OBSERVED,"Observed events: 4, TS Quality: 0.75"
EMP11950,USER,NO_ACTIONABLE_HYPOTHESIS,4.22,0.7383,"Auth:4.22, Net:0.0, Ep:0.0, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 6, TS Quality: 0.8333"
EMP12718,USER,NO_ACTIONABLE_HYPOTHESIS,18.27,0.615,"Auth:14.05, Net:0.0, Ep:4.22, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 5, TS Quality: 0.6"
EMP10184,USER,NO_ACTIONABLE_HYPOTHESIS,8.43,0.895,"Auth:0.0, Net:0.0, Ep:0.0, Ops:8.43",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 9, TS Quality: 1.0"
EMP12400,USER,NO_ACTIONABLE_HYPOTHESIS,25.29,0.9273,"Auth:8.43, Net:8.43, Ep:0.0, Ops:8.43",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 11, TS Quality: 0.8182"
EMP10194,USER,POSSIBLE_CREDENTIAL_COMPROMISE; POSSIBLE_ACCOUNT_TAKEOVER; POSSIBLE_ANOMALOUS_DATA_EXFILTRATION,100.0,0.9619,"Auth:37.5, Net:37.5, Ep:12.65, Ops:37.5",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 63, TS Quality: 0.9048"
EMP12798,USER,NO_ACTIONABLE_HYPOTHESIS,12.65,0.9333,"Auth:0.0, Net:0.0, Ep:8.43, Ops:4.22",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 12, TS Quality: 0.8333"
EMP11195,USER,NO_ACTIONABLE_HYPOTHESIS,0.0,0.55,"Auth:0.0, Net:0.0, Ep:0.0, Ops:0.0",INSUFFICIENT_BASELINE_HISTORY; ZERO_MFA_FAILURES_OBSERVED,"Observed events: 4, TS Quality: 1.0"
EMP11406,USER,NO_ACTIONABLE_HYPOTHESIS,0.0,0.815,"Auth:0.0, Net:0.0, Ep:0.0, Ops:0.0",ZERO_MFA_FAILURES_OBSERVED,"Observed events: 8, TS Quality: 0.875"
