session_id,iam_event_count,has_failed_login,firewall_log_count,has_firewall_deny,has_threat_flag,present_in_iam,present_in_firewall,match_status,session_event_count,feature_confidence
SID-100498,1.0,True,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-100779,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-100966,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-101384,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-101608,1.0,False,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-101805,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-102205,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-102219,0.0,False,1.0,True,True,False,True,UNMATCHED,1.0,UNMATCHED
SID-102299,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-102333,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-102988,1.0,True,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-103026,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-103421,1.0,False,0.0,False,False,True,False,UNMATCHED,1.0,UNMATCHED
SID-104253,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-104663,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-104934,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-104991,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-105821,0.0,False,1.0,False,True,False,True,UNMATCHED,1.0,UNMATCHED
SID-106112,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-107201,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-107429,0.0,False,1.0,False,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-107595,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
SID-108711,0.0,False,1.0,True,False,False,True,UNMATCHED,1.0,UNMATCHED
