sequence_id,entity_id,entity_type,event_id,source_dataset,source_record_id,event_timestamp,event_category,role_in_sequence
SEQ-USR-1000,EMP10014,USER,IAM00011997,IAM,IAM00011997,2026-08-06 02:19:04+00:00,AUTHENTICATION,step_1
SEQ-USR-1000,EMP10014,USER,IAM00018051,IAM,IAM00018051,2026-08-06 03:13:28+00:00,AUTHENTICATION,step_2
SEQ-USR-1001,EMP10014,USER,IAM00003112,IAM,IAM00003112,2026-08-14 23:01:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1001,EMP10014,USER,IAM00017081,IAM,IAM00017081,2026-08-15 00:00:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1002,EMP10014,USER,IAM00010841,IAM,IAM00010841,2026-08-15 04:25:21+00:00,AUTHENTICATION,step_1
SEQ-USR-1002,EMP10014,USER,IAM00005442,IAM,IAM00005442,2026-08-15 05:05:20+00:00,AUTHENTICATION,step_2
SEQ-USR-1003,EMP10014,USER,IAM00011351,IAM,IAM00011351,2026-09-09 20:17:14+00:00,AUTHENTICATION,step_1
SEQ-USR-1003,EMP10014,USER,IAM00010594,IAM,IAM00010594,2026-09-09 21:02:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1004,EMP10024,USER,EPA00006733,Endpoint,EPA00006733,2026-09-06 14:27:24+00:00,ENDPOINT_ALERT,step_1
SEQ-USR-1004,EMP10024,USER,IAM00011211,IAM,IAM00011211,2026-09-06 15:19:35+00:00,AUTHENTICATION,step_2
SEQ-USR-1005,EMP10044,USER,IAM00007231,IAM,IAM00007231,2026-07-09 00:00:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1005,EMP10044,USER,IAM00019453,IAM,IAM00019453,2026-07-09 00:00:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1006,EMP10044,USER,IAM00002946,IAM,IAM00002946,2026-08-04 20:46:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1006,EMP10044,USER,IAM00009238,IAM,IAM00009238,2026-08-04 21:07:22+00:00,AUTHENTICATION,step_2
SEQ-USR-1007,EMP10044,USER,IAM00000475,IAM,IAM00000475,2026-08-17 00:00:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1007,EMP10044,USER,IAM00013431,IAM,IAM00013431,2026-08-17 00:00:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1008,EMP10044,USER,IAM00013420,IAM,IAM00013420,2026-08-22 17:08:14+00:00,AUTHENTICATION,step_1
SEQ-USR-1008,EMP10044,USER,IAM00017158,IAM,IAM00017158,2026-08-22 18:02:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1009,EMP10044,USER,IAM00019704,IAM,IAM00019704,2026-08-23 00:00:00+00:00,AUTHENTICATION,step_1
SEQ-USR-1009,EMP10044,USER,IAM00019911,IAM,IAM00019911,2026-08-23 00:00:00+00:00,AUTHENTICATION,step_2
SEQ-USR-1010,EMP10044,USER,IAM00002844,IAM,IAM00002844,2026-08-23 16:46:21+00:00,AUTHENTICATION,step_1
SEQ-USR-1010,EMP10044,USER,IAM00011894,IAM,IAM00011894,2026-08-23 17:06:42+00:00,AUTHENTICATION,step_2
SEQ-USR-1011,EMP10052,USER,IAM00006237,IAM,IAM00006237,2026-01-08 00:00:00+00:00,AUTHENTICATION,step_1
