sequence_id,entity_id,entity_type,sequence_type,start_time,end_time,duration_seconds,event_count,event_ids,source_datasets,temporal_window_minutes,sequence_confidence,sequence_strength,counter_evidence
SEQ-USR-1000,EMP10014,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-06 02:19:04+00:00,2026-08-06 03:13:28+00:00,3264,2,IAM00011997; IAM00018051,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1001,EMP10014,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-14 23:01:00+00:00,2026-08-15 00:00:00+00:00,3540,2,IAM00003112; IAM00017081,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1002,EMP10014,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-15 04:25:21+00:00,2026-08-15 05:05:20+00:00,2399,2,IAM00010841; IAM00005442,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1003,EMP10014,USER,GENERAL_ACTIVITY_SEQUENCE,2026-09-09 20:17:14+00:00,2026-09-09 21:02:00+00:00,2686,2,IAM00011351; IAM00010594,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1004,EMP10024,USER,AUTH_TO_ENDPOINT_ALERT,2026-09-06 14:27:24+00:00,2026-09-06 15:19:35+00:00,3131,2,EPA00006733; IAM00011211,IAM; Endpoint,60,0.88,100.0,NONE_OBSERVED
SEQ-USR-1005,EMP10044,USER,GENERAL_ACTIVITY_SEQUENCE,2026-07-09 00:00:00+00:00,2026-07-09 00:00:00+00:00,0,2,IAM00007231; IAM00019453,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY; IDENTICAL_TIMESTAMP_WINDOW
SEQ-USR-1006,EMP10044,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-04 20:46:00+00:00,2026-08-04 21:07:22+00:00,1282,2,IAM00002946; IAM00009238,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1007,EMP10044,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-17 00:00:00+00:00,2026-08-17 00:00:00+00:00,0,2,IAM00000475; IAM00013431,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY; IDENTICAL_TIMESTAMP_WINDOW
SEQ-USR-1008,EMP10044,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-22 17:08:14+00:00,2026-08-22 18:02:00+00:00,3226,2,IAM00013420; IAM00017158,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY
SEQ-USR-1009,EMP10044,USER,GENERAL_ACTIVITY_SEQUENCE,2026-08-23 00:00:00+00:00,2026-08-23 00:00:00+00:00,0,2,IAM00019704; IAM00019911,IAM,60,0.73,75.0,SINGLE_SOURCE_ONLY; IDENTICAL_TIMESTAMP_WINDOW
