user_id,username,department,status,hostname,authentication_event_count,failed_login_count,successful_login_count,mfa_failure_count,unique_source_ip_count,session_count,unknown_evidence_count,off_hours_activity_count,endpoint_alert_count,critical_endpoint_alert_count,high_endpoint_alert_count,medium_endpoint_alert_count,low_endpoint_alert_count,unique_host_count,authentication_failure_rate,mfa_failure_rate,evidence_count,valid_evidence_count,feature_confidence,department_failed_login_percentile,observation_count,valid_timestamp_count,distinct_active_days,distinct_active_hours,min_ts,max_ts,unknown_timestamp_count,historical_span_days,timestamp_quality_score,eligibility_status,baseline_confidence,baseline_method,baseline_window,peer_group_size,peer_failed_login_median,peer_failed_login_mad,peer_auth_failure_rate_median,peer_auth_failure_rate_mad,peer_off_hours_median,peer_off_hours_mad,peer_endpoint_alert_median,peer_endpoint_alert_mad,failed_login_abs_dev,failed_login_rel_dev,failed_login_zscore,auth_failure_rate_abs_dev,auth_failure_rate_rel_dev,auth_failure_rate_zscore,off_hours_abs_dev,off_hours_rel_dev,off_hours_zscore,endpoint_alert_abs_dev,endpoint_alert_rel_dev,endpoint_alert_zscore,unique_source_ip_zscore,unique_host_zscore,authentication_deviation,network_deviation,endpoint_deviation,off_hours_deviation,behavior_deviation_score,authentication_deviation_status,network_deviation_status,endpoint_deviation_status,off_hours_deviation_status,overall_deviation_status,multi_signal_deviation_count
EMP12741,omkaar.chana52,Supply Chain,Active,LPT-12741,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,EXACT,30.327868852459016,2,2,2,2,2026-08-26 00:00:00,2026-09-04 22:03:08,0,9.92,1.0,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,61,2.0,1.0,0.3333333333333333,0.1333333333333333,3.0,1.0,2.0,1.0,0.0,0.0,-0.6745,0.6666666666666667,0.5,3.3725,0.0,0.0,-1.349,0.0,0.0,-0.6745,-2.0235,0.0,3.3725,0.0,0.0,0.0,0.8431,ELEVATED,NORMAL,NORMAL,NORMAL,NORMAL,1
EMP11307,ethan.narasimhan97,Legal,Active,VDR-11307.,8.0,4.0,3.0,0.0,3.0,3.0,6.0,4.0,2.0,0.0,1.0,1.0,0.0,1.0,0.5,0.0,10.0,4.0,EXACT,90.47619047619048,10,8,7,6,2026-08-05 21:19:10,2026-08-28 00:00:00,2,22.11,0.8,SUFFICIENT_HISTORY,HIGH,median_mad,full_historical_observation,231,2.0,1.0,0.3333333333333333,0.16666666666666669,3.0,1.0,3.0,1.0,2.0,0.6667,1.349,0.16666666666666669,0.125,0.6745,1.0,0.25,0.6745,0.0,0.0,-0.6745,0.0,0.0,1.349,0.0,0.0,0.6745,0.5059,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,0
EMP11601,ethan.choudhry47,Marketing,Active,WS-11601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,4.0,4.0,EXACT,10.31390134529148,4,2,2,2,2026-08-17 01:41:26,2026-08-21 21:58:00,2,4.84,0.5,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,223,1.0,1.0,0.2857142857142857,0.1428571428571428,3.0,1.0,2.0,1.0,0.0,0.0,-0.6745,0.0,0.0,-1.349,0.0,0.0,-2.0235,2.0,0.6667,1.349,-2.0235,0.0,0.0,0.0,1.349,0.0,0.3372,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,0
EMP12621,vedant_panchal60,Support,Active,LPT-12621,8.0,0.0,7.0,0.0,3.0,6.0,5.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,5.0,EXACT,9.375,10,6,5,5,2026-02-09 13:58:00,2026-08-14 10:01:01,4,185.84,0.6,SUFFICIENT_HISTORY,MEDIUM,median_mad,full_historical_observation,64,2.0,1.0,0.2857142857142857,0.1190476190476191,3.0,1.0,2.0,1.0,0.0,0.0,-1.349,0.0,0.0,-1.6188,0.0,0.0,-0.6745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,0
EMP12029,gayathri.mohanty65,R&D,Active,LPT-12029,4.0,1.0,3.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,4.0,2.0,EXACT,30.49792531120332,4,3,3,3,2026-08-19 09:36:01,2026-09-03 05:13:18,1,14.82,0.75,INSUFFICIENT_HISTORY,UNTRUSTED,median_mad,full_historical_observation,241,2.0,1.0,0.3,0.1333333333333334,3.0,1.0,2.0,1.0,0.0,0.0,-0.6745,0.0,0.0,-0.2529,0.0,0.0,-1.349,0.0,0.0,-1.349,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,0
EMP11950,garima.chaudhary44,Call Center,Active,LPT-11950,6.0,2.0,3.0,0.0,2.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,6.0,2.0,EXACT,65.38461538461539,6,5,5,4,2026-08-01 00:50:18,2026-09-05 22:35:01,1,35.91,0.8333,SUFFICIENT_HISTORY,MEDIUM,median_mad,full_historical_observation,52,1.0,1.0,0.25,0.1484126984126984,3.0,1.0,3.0,1.0,1.0,0.5,0.6745,0.08333333333333331,0.0667,0.3787,0.0,0.0,0.0,0.0,0.0,-2.0235,-0.6745,-1.0,0.6745,0.0,0.0,0.0,0.1686,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,0
EMP12718,vrishti.dewan18,Compliance,Active,LPT-12718,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,5.0,4.0,EXACT,37.25490196078432,5,3,3,2,2026-08-20 00:00:00,2026-09-06 14:00:19,2,17.58,0.6,SUFFICIENT_HISTORY,MEDIUM,median_mad,full_historical_observation,51,1.0,1.0,0.2857142857142857,0.2142857142857143,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.7142857142857143,0.5556,2.2483,0.0,0.0,-0.6745,1.0,0.25,0.6745,-2.0235,0.0,2.2483,0.0,0.6745,0.0,0.7307,UNUSUAL,NORMAL,NORMAL,NORMAL,NORMAL,0
EMP10184,Unknown,IT,Active,WS-10184,7.0,0.0,6.0,0.0,2.0,4.0,5.0,5.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,9.0,4.0,EXACT,8.23293172690763,9,9,8,4,2026-07-08 00:00:00,2026-09-04 18:44:14,0,58.78,1.0,SUFFICIENT_HISTORY,MEDIUM,median_mad,full_historical_observation,249,1.0,1.0,0.2857142857142857,0.1190476190476191,3.0,1.0,2.0,1.0,0.0,0.0,-0.6745,0.0,0.0,-1.6188,2.0,0.5,1.349,0.0,0.0,0.0,-0.6745,0.0,0.0,0.0,0.0,1.349,0.3372,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,0
EMP12400,peter.sama77,IT,Active,VDR-12400,11.0,3.0,8.0,0.0,5.0,8.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,11.0,3.0,EXACT,79.31726907630522,11,9,9,7,2026-07-09 03:01:00,2026-09-09 02:14:08,2,61.97,0.8182,SUFFICIENT_HISTORY,HIGH,median_mad,full_historical_observation,249,1.0,1.0,0.2857142857142857,0.1190476190476191,3.0,1.0,2.0,1.0,2.0,1.0,1.349,0.0,0.0,-0.0736,2.0,0.5,1.349,0.0,0.0,-1.349,1.349,-1.0,1.349,1.349,0.0,1.349,1.0118,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,0
EMP10194,ayush.dua87,R&D,Active,LPT-10194,59.0,21.0,33.0,0.0,28.0,36.0,35.0,29.0,4.0,1.0,2.0,0.0,1.0,1.0,0.3559322033898305,0.0,63.0,28.0,EXACT,99.5850622406639,63,57,33,21,2026-01-09 14:09:00,2026-09-09 08:41:53,6,242.77,0.9048,SUFFICIENT_HISTORY,HIGH,median_mad,full_historical_observation,241,2.0,1.0,0.3,0.1333333333333334,3.0,1.0,2.0,1.0,19.0,6.3333,12.8153,0.055932203389830515,0.043,0.2829,26.0,6.5,17.5368,2.0,0.6667,1.349,16.8623,0.0,12.8153,16.8623,1.349,17.5368,12.1408,OUTLIER,OUTLIER,NORMAL,OUTLIER,OUTLIER,3
