user_id,username,department,status,hostname,authentication_event_count,failed_login_count,successful_login_count,mfa_failure_count,unique_source_ip_count,session_count,unknown_evidence_count,off_hours_activity_count,endpoint_alert_count,critical_endpoint_alert_count,high_endpoint_alert_count,medium_endpoint_alert_count,low_endpoint_alert_count,unique_host_count,authentication_failure_rate,mfa_failure_rate,evidence_count,valid_evidence_count,feature_confidence,department_failed_login_percentile
EMP12741,omkaar.chana52,Supply Chain,Active,LPT-12741,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,EXACT,30.327868852459016
EMP11307,ethan.narasimhan97,Legal,Active,VDR-11307.,8.0,4.0,3.0,0.0,3.0,3.0,6.0,4.0,2.0,0.0,1.0,1.0,0.0,1.0,0.5,0.0,10.0,4.0,EXACT,90.47619047619048
EMP11601,ethan.choudhry47,Marketing,Active,WS-11601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,4.0,4.0,EXACT,10.31390134529148
EMP12621,vedant_panchal60,Support,Active,LPT-12621,8.0,0.0,7.0,0.0,3.0,6.0,5.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,5.0,EXACT,9.375
EMP12029,gayathri.mohanty65,R&D,Active,LPT-12029,4.0,1.0,3.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,4.0,2.0,EXACT,30.49792531120332
EMP11950,garima.chaudhary44,Call Center,Active,LPT-11950,6.0,2.0,3.0,0.0,2.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,6.0,2.0,EXACT,65.38461538461539
EMP12718,vrishti.dewan18,Compliance,Active,LPT-12718,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,5.0,4.0,EXACT,37.254901960784316
EMP10184,Unknown,IT,Active,WS-10184,7.0,0.0,6.0,0.0,2.0,4.0,5.0,5.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,9.0,4.0,EXACT,8.23293172690763
EMP12400,peter.sama77,IT,Active,VDR-12400,11.0,3.0,8.0,0.0,5.0,8.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,11.0,3.0,EXACT,79.31726907630522
EMP10194,ayush.dua87,R&D,Active,LPT-10194,59.0,21.0,33.0,0.0,28.0,36.0,35.0,29.0,4.0,1.0,2.0,0.0,1.0,1.0,0.3559322033898305,0.0,63.0,28.0,EXACT,99.5850622406639
EMP12798,abhimanyu.trivedi4,Sales,Active,WS-12798,7.0,2.0,3.0,0.0,1.0,3.0,6.0,4.0,5.0,0.0,1.0,2.0,2.0,1.0,0.2857142857142857,0.0,12.0,6.0,EXACT,59.764309764309765
EMP11195,christopher.toor37,Legal,Active,VDR-11195,3.0,1.0,2.0,0.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.0,4.0,3.0,EXACT,30.08658008658009
EMP11406,urishilla.bhatt88,Sales,Active,WS-11406,6.0,2.0,2.0,0.0,2.0,2.0,4.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.0,8.0,4.0,EXACT,59.764309764309765
EMP10314,girindra.dhaliwal46,R&D,Terminated,VDR-10314,2.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,4.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,6.0,4.0,EXACT,7.468879668049793
EMP10102,gaurangi.samra66,Finance,Terminated,WS-10102,4.0,0.0,3.0,0.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,EXACT,10.76158940397351
EMP11437,waida.anand56,Operations,Active,WS-11437,5.0,3.0,2.0,0.0,1.0,3.0,4.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,0.6,0.0,8.0,4.0,EXACT,81.65137614678899
