user_id,username,temporal_sequence_count,strongest_sequence_strength,temporal_evidence_count,temporal_confidence,temporal_signal_present
EMP12741,omkaar.chana52,0,0.0,0,0.0,False
EMP11307,ethan.narasimhan97,0,0.0,0,0.0,False
EMP11601,ethan.choudhry47,0,0.0,0,0.0,False
EMP12621,vedant_panchal60,0,0.0,0,0.0,False
EMP12029,gayathri.mohanty65,0,0.0,0,0.0,False
EMP11950,garima.chaudhary44,0,0.0,0,0.0,False
EMP12718,vrishti.dewan18,0,0.0,0,0.0,False
EMP10184,Unknown,0,0.0,0,0.0,False
EMP12400,peter.sama77,0,0.0,0,0.0,False
EMP10194,ayush.dua87,4,75.0,8,0.73,True
EMP12798,abhimanyu.trivedi4,0,0.0,0,0.0,False
EMP11195,christopher.toor37,0,0.0,0,0.0,False
EMP11406,urishilla.bhatt88,0,0.0,0,0.0,False
EMP10314,girindra.dhaliwal46,0,0.0,0,0.0,False
EMP10102,gaurangi.samra66,0,0.0,0,0.0,False
EMP11437,waida.anand56,0,0.0,0,0.0,False
EMP12959,libni.lala75,0,0.0,0,0.0,False
EMP11221,qabil.lanka74,0,0.0,0,0.0,False
EMP12935,abha.naik17,0,0.0,0,0.0,False
EMP10705,bimala.raval96,0,0.0,0,0.0,False
EMP12234,tristan.ravi53,1,100.0,2,0.88,True
EMP11973,edhitha.pathak81,0,0.0,0,0.0,False
EMP11517,anita.dutt25,0,0.0,0,0.0,False
EMP12976,aayush.koshy48,0,0.0,0,0.0,False
EMP12232,Unknown,1,100.0,2,0.88,True
EMP10178,tanveer.ghose11,0,0.0,0,0.0,False
EMP12030,urishilla.dugar5,0,0.0,0,0.0,False
EMP12926,ronith.bhatti96,0,0.0,0,0.0,False
EMP10611,Unknown,0,0.0,0,0.0,False
EMP10679,ira.khanna17,0,0.0,0,0.0,False
EMP10152,finn.vig49,6,75.0,12,0.73,True
EMP12484,aahana.seth4,0,0.0,0,0.0,False
EMP11025,darsh.patla51,0,0.0,0,0.0,False
EMP10907,sneha.loke46,0,0.0,0,0.0,False
EMP10254,wriddhish_arora70,0,0.0,0,0.0,False
EMP12416,harish.bhatia99,0,0.0,0,0.0,False
EMP12332,shravya.mand51,0,0.0,0,0.0,False
EMP10346,dipta_oza8,0,0.0,0,0.0,False
EMP10299,anmol.bhatt26,0,0.0,0,0.0,False
EMP12045,girik.gaba54,0,0.0,0,0.0,False
EMP11295,utkarsh.bakshi57,0,0.0,0,0.0,False
EMP11357,nandini.buch11,3,75.0,6,0.73,True
EMP11422,rishi.contractor33,0,0.0,0,0.0,False
EMP12482,chakrika.nagar94,0,0.0,0,0.0,False
EMP10139,isaac.dugar28,0,0.0,0,0.0,False
EMP12603,gautam.dass68,5,75.0,10,0.73,True
EMP10246,rohan.dash48,0,0.0,0,0.0,False
EMP10900,lohit.reddy93,4,75.0,8,0.73,True
EMP12130,krishna.kata74,0,0.0,0,0.0,False
EMP11681,ayushman.varty42,0,0.0,0,0.0,False
EMP12334,bahadurjit.sridhar62,0,0.0,0,0.0,False
EMP10889,chanchal.tank46,0,0.0,0,0.0,False
EMP11268,krishna.babu43,0,0.0,0,0.0,False
EMP11926,chatresh.varty75,0,0.0,0,0.0,False
EMP11620,ira.choudhury44,0,0.0,0,0.0,False
EMP10700,charles.brar31,0,0.0,0,0.0,False
EMP11061,ekansh.ahuja25,1,100.0,2,0.88,True
EMP10485,hardik.kuruvilla24,1,75.0,2,0.73,True
EMP11356,jeet.tara32,0,0.0,0,0.0,False
EMP12310,zashil.chaudhari74,0,0.0,0,0.0,False
EMP12181,hemal.kohli58,0,0.0,0,0.0,False
EMP10761,dayita.dasgupta48,0,0.0,0,0.0,False
EMP10746,oviya.acharya25,6,75.0,12,0.73,True
EMP10321,kalpit.mody99,1,75.0,2,0.73,True
EMP12707,indira.pant51,0,0.0,0,0.0,False
EMP10188,wakeeta.srivastava97,0,0.0,0,0.0,False
EMP10772,gagan_bhandari75,5,75.0,10,0.73,True
EMP12496,anusha.bawa86,0,0.0,0,0.0,False
EMP11451,arunima.dube10,0,0.0,0,0.0,False
EMP12354,gagan.raman49,0,0.0,0,0.0,False
EMP10410,onveer.om63,0,0.0,0,0.0,False
EMP11727,bhavya.sem13,0,0.0,0,0.0,False
EMP12852,warinder.wali82,0,0.0,0,0.0,False
EMP12216,urvashi.handa11,0,0.0,0,0.0,False
EMP11398,yauvani_chacko81,0,0.0,0,0.0,False
EMP11361,inaya.sridhar38,1,100.0,2,0.88,True
EMP11657,yadavi.balay60,0,0.0,0,0.0,False
EMP10051,ekbal.malhotra95,0,0.0,0,0.0,False
EMP11624,bishakha_ghose98,0,0.0,0,0.0,False
EMP10063,ira.tara4,4,75.0,8,0.73,True
EMP12789,tamanna.kala64,0,0.0,0,0.0,False
EMP12553,tanish.kurian86,0,0.0,0,0.0,False
EMP12530,wazir.das67,0,0.0,0,0.0,False
EMP11090,pahal.bajwa31,4,100.0,8,0.88,True
EMP11465,brinda.chauhan94,0,0.0,0,0.0,False
EMP11896,urmi.pall82,0,0.0,0,0.0,False
EMP10052,anirudh.ramanathan31,7,75.0,14,0.73,True
EMP12807,damyanti.wali52,1,75.0,2,0.73,True
EMP12763,sanaya.kale52,0,0.0,0,0.0,False
EMP12551,warinder.jaggi19,0,0.0,0,0.0,False
EMP12864,pooja.choudhary68,0,0.0,0,0.0,False
EMP10544,harita.sura62,0,0.0,0,0.0,False
EMP12948,aadi.mohan96,0,0.0,0,0.0,False
EMP10450,charles.mohanty2,1,100.0,2,0.88,True
EMP12515,onveer.wason58,0,0.0,0,0.0,False
EMP10044,gopal.lala36,6,75.0,12,0.73,True
EMP11001,aarush.prashad25,8,75.0,16,0.73,True
EMP11831,Unknown,0,0.0,0,0.0,False
EMP10829,chaman.goda59,0,0.0,0,0.0,False
EMP10598,ekalinga.walla33,0,0.0,0,0.0,False
EMP10408,akshay.sarraf2,4,75.0,8,0.73,True
EMP12917,charita.mannan95,0,0.0,0,0.0,False
EMP10256,naveen.bhagat32,0,0.0,0,0.0,False
EMP12028,neha_devan64,0,0.0,0,0.0,False
EMP12303,lila_srinivasan31,0,0.0,0,0.0,False
EMP11837,qabil.parikh37,0,0.0,0,0.0,False
