dataset,column,raw_value,frequency
ENDPOINT,device_criticality,Critical,677
ENDPOINT,device_criticality,Low,662
ENDPOINT,device_criticality,L,661
ENDPOINT,device_criticality,High,658
ENDPOINT,device_criticality,LOW,636
ENDPOINT,device_criticality,CRITICAL,617
ENDPOINT,device_criticality,H,617
ENDPOINT,device_criticality,Medium,616
ENDPOINT,device_criticality,M,611
ENDPOINT,device_criticality,MEDIUM,606
ENDPOINT,device_criticality,HIGH,580
ENDPOINT,endpoint_product,SYMANTEC,963
ENDPOINT,endpoint_product,SentinelOne,939
ENDPOINT,endpoint_product,Defender,934
ENDPOINT,endpoint_product,Windows Defender,916
ENDPOINT,endpoint_product,McAfee,907
ENDPOINT,endpoint_product,Quick Heal,904
ENDPOINT,endpoint_product,Kaspersky,896
ENDPOINT,endpoint_product,Carbon Black,891
ENDPOINT,endpoint_product,CrowdStrike,890
ENDPOINT,severity,MEDIUM,679
ENDPOINT,severity,P3,640
ENDPOINT,severity,Medium,627
ENDPOINT,severity,M,607
ENDPOINT,severity,Moderate,599
ENDPOINT,severity,LOW,525
ENDPOINT,severity,Minor,506
ENDPOINT,severity,P4,501
ENDPOINT,severity,L,484
ENDPOINT,severity,Low,477
ENDPOINT,severity,H,369
ENDPOINT,severity,High,367
ENDPOINT,severity,Major,364
ENDPOINT,severity,P2,354
ENDPOINT,severity,HIGH,351
ENDPOINT,severity,Critical,190
ENDPOINT,severity,CRIT,155
ENDPOINT,severity,Severe,152
ENDPOINT,severity,P1,147
ENDPOINT,severity,CRITICAL,146
ENDPOINT,status,New,561
ENDPOINT,status,N,511
ENDPOINT,status,Resolved,487
ENDPOINT,status,Open,478
ENDPOINT,status,NEW,477
ENDPOINT,status,Unassigned,473
ENDPOINT,status,O,467
ENDPOINT,status,OPEN,446
ENDPOINT,status,Active,442
ENDPOINT,status,Closed,415
ENDPOINT,status,R,414
ENDPOINT,status,CLOSED,385
ENDPOINT,status,IN_PROGRESS,377
ENDPOINT,status,WIP,374
ENDPOINT,status,RESOLVED,373
ENDPOINT,status,In Progress,369
ENDPOINT,status,Investigating,363
ENDPOINT,status,Not Malicious,230
ENDPOINT,status,FALSE_POSITIVE,216
ENDPOINT,status,False Positive,195
ENDPOINT,status,FP,187
FIREWALL,action,PERMIT,4007
FIREWALL,action,pass,3992
FIREWALL,action,permit,3991
FIREWALL,action,Allow,3989
FIREWALL,action,ALLOW,3954
FIREWALL,action,PASS,3951
FIREWALL,action,deny,995
FIREWALL,action,DROP,971
FIREWALL,action,Deny,965
FIREWALL,action,drop,954
FIREWALL,action,BLOCK,952
FIREWALL,action,DENY,949
FIREWALL,action,block,930
FIREWALL,protocol,tcp,5577
FIREWALL,protocol,6,5508
FIREWALL,protocol,TCP/6,5473
FIREWALL,protocol,TCP,5473
FIREWALL,protocol,17,1825
FIREWALL,protocol,UDP/17,1792
FIREWALL,protocol,UDP,1749
FIREWALL,protocol,udp,1735
FIREWALL,protocol,ping,391
FIREWALL,protocol,icmp,370
FIREWALL,protocol,1,355
FIREWALL,protocol,ICMP,352
FIREWALL,threat_flag,False,19909
FIREWALL,threat_flag,N,3331
FIREWALL,threat_flag,no,2716
FIREWALL,threat_flag,0,2216
FIREWALL,threat_flag,True,1654
FIREWALL,threat_flag,Y,310
FIREWALL,threat_flag,yes,259
FIREWALL,threat_flag,1,205
IAM,department,procurement team,366
IAM,department,Procurement,353
IAM,department,Human Resources,353
IAM,department,Supply Chain,352
IAM,department,Purchase,348
IAM,department,hr dept,341
IAM,department,Human Resource,339
IAM,department,HR,336
IAM,department,IT,336
IAM,department,People Team,331
IAM,department,Information Technology,331
IAM,department,PURCH,329
IAM,department,IT Dept,328
IAM,department,IT Support,326
IAM,department,CS,318
IAM,department,customer care,315
IAM,department,Support,313
IAM,department,information tech,305
IAM,department,Brand Team,302
IAM,department,RD,299
IAM,department,FINANCE,296
IAM,department,Call Center,295
IAM,department,Marketing,291
IAM,department,Customer Support,289
IAM,department,OPERATIONS,288
IAM,department,Fin,287
IAM,department,Innovation,287
IAM,department,marketing dept,287
IAM,department,Ops,286
IAM,department,LEGAL,286
IAM,department,Finance,286
IAM,department,Compliance,281
IAM,department,operations dept,281
IAM,department,finance dept,280
IAM,department,R&D,279
IAM,department,MKT,277
IAM,department,Research and Development,276
IAM,department,Ops Team,272
IAM,department,sales dept,272
IAM,department,RnD,268
IAM,department,Mktg,267
IAM,department,Operations,266
IAM,department,sales team,256
IAM,department,Legal Dept,250
IAM,department,legal,247
IAM,department,Accounts,245
IAM,department,SALES,245
IAM,department,Legal,240
IAM,department,Sales,226
IAM,department,Business Sales,215
IAM,event_type,SSO_SUCCESS,1769
IAM,event_type,success_login,1715
IAM,event_type,AUTH_SUCCESS,1698
IAM,event_type,LOGIN_SUCCESS,1697
IAM,event_type,Successful Login,1696
IAM,event_type,Login Success,1658
IAM,event_type,LOGON_SUCCESS,1656
IAM,event_type,LOGIN_FAILED,867
IAM,event_type,MFA_FAILED,840
IAM,event_type,LOGON_FAILURE,837
IAM,event_type,AUTH_FAILED,809
IAM,event_type,FAILED_LOGIN,785
IAM,event_type,Login Failed,784
IAM,event_type,invalid_credentials,782
IAM,event_type,failed logon,769
IAM,event_type,DEVICE_REGISTERED,320
IAM,event_type,ACCOUNT_UNLOCK,318
IAM,event_type,SESSION_TERMINATED,310
IAM,event_type,PRIVILEGE_ESCALATION_REQUEST,303
IAM,event_type,MFA_ENROLLMENT,301
IAM,event_type,ACCOUNT_LOCK,299
IAM,event_type,PASSWORD_RESET,287
IAM,mfa_passed,True,8743
IAM,mfa_passed,False,5527
IAM,mfa_passed,Y,1494
IAM,mfa_passed,yes,1300
IAM,mfa_passed,1,1028
IAM,mfa_passed,N,980
IAM,mfa_passed,no,774
IAM,mfa_passed,0,654
IAM,user_id,EMP11801,50
IAM,user_id,EMP12418,48
IAM,user_id,EMP10472,47
IAM,user_id,EMP11547,47
IAM,user_id,EMP12901,45
IAM,user_id,EMP10152,45
IAM,user_id,EMP10296,45
IAM,user_id,EMP12738,45
IAM,user_id,EMP10052,44
IAM,user_id,EMP10772,44
IAM,user_id,EMP12113,44
IAM,user_id,EMP11001,43
IAM,user_id,EMP12567,43
IAM,user_id,EMP10298,43
IAM,user_id,EMP12505,42
IAM,user_id,EMP11763,42
IAM,user_id,EMP10393,41
IAM,user_id,EMP11359,41
IAM,user_id,EMP10912,41
IAM,user_id,EMP12111,40
IAM,user_id,EMP10044,40
IAM,user_id,EMP11600,40
IAM,user_id,EMP11411,40
IAM,user_id,EMP12895,40
IAM,user_id,EMP10408,39
IAM,user_id,EMP12083,39
IAM,user_id,EMP11226,38
IAM,user_id,EMP10727,38
IAM,user_id,EMP11360,38
IAM,user_id,EMP11298,38
IAM,user_id,EMP12579,37
IAM,user_id,EMP11005,37
IAM,user_id,EMP10251,36
IAM,user_id,EMP10291,36
IAM,user_id,EMP10322,36
IAM,user_id,EMP11090,36
IAM,user_id,EMP10063,36
IAM,user_id,EMP12425,36
IAM,user_id,EMP10289,35
IAM,user_id,EMP11117,35
IAM,user_id,EMP11190,34
IAM,user_id,EMP12678,34
IAM,user_id,EMP11583,34
IAM,user_id,EMP12546,33
IAM,user_id,EMP11073,33
IAM,user_id,EMP10014,33
IAM,user_id,EMP11817,33
IAM,user_id,EMP10203,32
IAM,user_id,EMP10746,31
IAM,user_id,EMP12776,30
IAM,user_id,EMP10900,30
IAM,user_id,EMP12144,30
IAM,user_id,EMP11241,29
IAM,user_id,EMP10644,28
IAM,user_id,EMP12851,28
IAM,user_id,EMP10781,27
IAM,user_id,EMP12603,27
IAM,user_id,EMP10194,27
IAM,user_id,EMP11665,25
IAM,user_id,EMP12254,23
IAM,user_id,EMP-10322,14
IAM,user_id,emp11411,13
IAM,user_id,EMP-10063,12
IAM,user_id,EMP 10014,12
IAM,user_id,11298,12
IAM,user_id,emp10772,12
IAM,user_id,10746,11
