alert_id,detected_timestamp,resolved_timestamp,user_id,hostname,severity,status,detected_parsed,resolved_parsed,duration_hours
EPA00006512,2026-08-05 00:31:08,06/08/2026 13:31,EMP11158,LPT-11158,High,CLOSED,2026-08-05 00:31:08,2026-06-08 13:31:00,-1379.0022222222221
EPA00005322,29/08/2026 08:30,29/08/2026,EMP11833,LPT-11833,LOW,Not Malicious,2026-08-29 08:30:00,2026-08-29 00:00:00,-8.5
EPA00000541,12/08/2026 04:24,16/08/2026 14:24,EMP10796,VDR-10796,P4,R,2026-12-08 04:24:00,2026-08-16 14:24:00,-2726.0
EPA00002125,2026-08-30 12:51:12,03/09/2026 12:51,emp12300,LPT-12300,P3,In Progress,2026-08-30 12:51:12,2026-03-09 12:51:00,-4176.003333333333
EPA00000458,08-29-2026 10:56:29 AM,01/09/2026 16:56,emp10917,VDR-10917,P4,New,2026-08-29 10:56:29,2026-01-09 16:56:00,-5562.008055555556
EPA00005629,2026-08-10T04:27:02,08/08/2026,EMP10852,LPT-10852,Major,CLOSED,2026-08-10 04:27:02,2026-08-08 00:00:00,-52.45055555555555
EPA00006974,2026-09-08 01:32:28,08/09/2026 03:32,EMP11884,LPT-11884,Major,Unassigned,2026-09-08 01:32:28,2026-08-09 03:32:00,-718.0077777777777
EPA00002863,02-Aug-2026 21:19:23,02-Aug-2026 06:19:23,EMP12544,WS-12544,MEDIUM,OPEN,2026-08-02 21:19:23,2026-08-02 06:19:23,-15.0
EPA00007636,08-02-2026 10:49:16 PM,07/08/2026 07:49,emp_10740,VDR-10740,M,Unassigned,2026-08-02 22:49:16,2026-07-08 07:49:00,-615.0044444444444
EPA00003097,09-01-2026 08:28:35 AM,03/09/2026 22:28,emp_11009,WS-11009,MEDIUM,Active,2026-09-01 08:28:35,2026-03-09 22:28:00,-4210.009722222222
EPA00004699,09-06-2026 04:50:07 AM,2026-09-04 04:50:07,emp_12780,LPT-12780,LOW,CLOSED,2026-09-06 04:50:07,2026-09-04 04:50:07,-48.0
EPA00000473,2026-09-04T00:04:58,05/09/2026 08:04,EMP10872,LPT-10872,P3,New,2026-09-04 00:04:58,2026-05-09 08:04:00,-2824.016111111111
EPA00007808,29/08/2026 23:04,2026-08-28T16:04:06,EMP-11940,VDR-11940,Major,FALSE_POSITIVE,2026-08-29 23:04:00,2026-08-28 16:04:06,-30.998333333333335
EPA00006472,10/08/2026,14/08/2026 05:30,emp12853,WS-12853,P1,FALSE_POSITIVE,2026-10-08 00:00:00,2026-08-14 05:30:00,-1314.5
EPA00004757,09-Sep-2026 19:27:38,09-08-2026 07:27:38 PM,EMP11852,WS-11852,Medium,IN_PROGRESS,2026-09-09 19:27:38,2026-09-08 19:27:38,-24.0
EPA00005165,03/08/2026 06:34,03/08/2026,EMP 11163,lpt-11163,Moderate,FALSE_POSITIVE,2026-03-08 06:34:00,2026-03-08 00:00:00,-6.566666666666666
EPA00001043,09/08/2026 22:38,2026/08/12,emp_11252,WS-11252.corp.local,P3,Closed,2026-09-08 22:38:00,2026-08-12 00:00:00,-670.6333333333333
EPA00007920,05/09/2026 13:10,05/09/2026 04:10,11116,LPT-11116.corp.local,P3,In Progress,2026-05-09 13:10:00,2026-05-09 04:10:00,-9.0
EPA00006154,10/08/2026 09:13,14-Aug-2026 08:13:34,emp_10336,WS-10336,P2,WIP,2026-10-08 09:13:00,2026-08-14 08:13:34,-1320.9905555555556
EPA00006087,2026-08-04T17:09:20,04/08/2026 23:09,emp_10132,VDR-10132,Severe,Investigating,2026-08-04 17:09:20,2026-04-08 23:09:00,-2826.0055555555555
EPA00002224,29/08/2026 17:40,28/08/2026 08:40,emp11505,WS-11505,P2,Closed,2026-08-29 17:40:00,2026-08-28 08:40:00,-33.0
EPA00004511,2026/08/01,06/08/2026,12144,LPT-12144,Moderate,O,2026-08-01 00:00:00,2026-06-08 00:00:00,-1296.0
EPA00002227,08-07-2026 08:36:28 AM,07/08/2026,EMP12833,WS-12833,P4,Active,2026-08-07 08:36:28,2026-07-08 00:00:00,-728.6077777777778
EPA00002717,2026-09-02 10:50:05,04/09/2026 01:50,EMP 12600,LPT-12600,Minor,OPEN,2026-09-02 10:50:05,2026-04-09 01:50:00,-3513.001388888889
EPA00001075,2026-08-01 11:31:44,03/08/2026 03:31,EMP12340,WS-12340,H,N,2026-08-01 11:31:44,2026-03-08 03:31:00,-3512.012222222222
EPA00007683,10/08/2026 07:18,13-Aug-2026 21:18:43,EMP11996,VDR-11996,LOW,NEW,2026-10-08 07:18:00,2026-08-13 21:18:43,-1329.9880555555555
EPA00002389,2026-08-05 17:01:14,04-Aug-2026 16:01:14,EMP10413,WS-10413,Minor,Active,2026-08-05 17:01:14,2026-08-04 16:01:14,-25.0
EPA00003046,2026-08-25 19:49:18,2026/08/25,EMP11813,LPT-11813,P4,WIP,2026-08-25 19:49:18,2026-08-25 00:00:00,-19.821666666666665
EPA00007116,02-Aug-2026 18:05:25,02/08/2026,EMP-12745,WS-12745,High,RESOLVED,2026-08-02 18:05:25,2026-02-08 00:00:00,-4218.090277777777
EPA00002707,2026-09-01 18:38:43,04/09/2026 16:38,EMP11479,VDR-11479,CRITICAL,Investigating,2026-09-01 18:38:43,2026-04-09 16:38:00,-3482.0119444444445
EPA00005406,08-07-2026 12:36:06 AM,07/08/2026 18:36,EMP12162,ws-12162,CRIT,O,2026-08-07 00:36:06,2026-07-08 18:36:00,-702.0016666666667
EPA00001558,2026-08-19 03:20:22,2026/08/19,EMP10858,LPT-10858,MEDIUM,Open,2026-08-19 03:20:22,2026-08-19 00:00:00,-3.3394444444444447
EPA00002471,09-04-2026 07:26:27 AM,06/09/2026 02:26,emp_11483,LPT-11483,Moderate,Unassigned,2026-09-04 07:26:27,2026-06-09 02:26:00,-2093.0075
EPA00005383,2026-08-03 15:53:13,04/08/2026 03:53,emp11067,WS-11067,L,IN_PROGRESS,2026-08-03 15:53:13,2026-04-08 03:53:00,-2820.0036111111112
EPA00000038,08-03-2026 08:31:38 PM,04/08/2026,EMP12071,VDR-12071,CRIT,Investigating,2026-08-03 20:31:38,2026-04-08 00:00:00,-2828.527222222222
EPA00006471,03-Aug-2026 02:35:28,04/08/2026,EMP11028,LPT_11028,High,In Progress,2026-08-03 02:35:28,2026-04-08 00:00:00,-2810.5911111111113
EPA00003455,2026-08-02 02:05:39,05/08/2026 02:05,EMP11708,WS-11708,MEDIUM,Active,2026-08-02 02:05:39,2026-05-08 02:05:00,-2064.0108333333333
EPA00006063,2026-09-03 17:02:59,08/09/2026,EMP11995,,LOW,NEW,2026-09-03 17:02:59,2026-08-09 00:00:00,-617.0497222222223
EPA00007085,12/08/2026 18:58,08-14-2026 04:58:41 PM,EMP 10444,VDR-10444,Major,N,2026-12-08 18:58:00,2026-08-14 16:58:41,-2785.988611111111
EPA00006832,08-18-2026 08:52:27 PM,17/08/2026,emp12366,LPT-12366,Low,New,2026-08-18 20:52:27,2026-08-17 00:00:00,-44.87416666666667
EPA00004802,2026-08-08T00:15:11,08/08/2026,10270,VDR-10270,Low,NEW,2026-08-08 00:15:11,2026-08-08 00:00:00,-0.25305555555555553
EPA00003304,09/08/2026,2026-08-11 00:59:35,EMP10978,WS-10978,Medium,Resolved,2026-09-08 00:00:00,2026-08-11 00:59:35,-671.0069444444445
EPA00002670,2026-08-10T04:47:25,2026-08-08T04:47:25,EMP 11024,LPT-11024,H,Resolved,2026-08-10 04:47:25,2026-08-08 04:47:25,-48.0
EPA00004311,09-05-2026 12:16:35 PM,07/09/2026,EMP11003,VDR-11003.corp.local,Medium,OPEN,2026-09-05 12:16:35,2026-07-09 00:00:00,-1404.276388888889
EPA00002751,09/08/2026 00:06,2026-08-13T17:06:23,EMP10889,VDR-10889,P3,Open,2026-09-08 00:06:00,2026-08-13 17:06:23,-606.9936111111111
EPA00003945,2026-09-01 21:46:32,04/09/2026,EMP12292,LPT-12292,Low,RESOLVED,2026-09-01 21:46:32,2026-04-09 00:00:00,-3501.7755555555555
EPA00007263,2026/09/06,07/09/2026 20:05,EMP 10898,LPT-10898,M,OPEN,2026-09-06 00:00:00,2026-07-09 20:05:00,-1395.9166666666667
EPA00003350,12/08/2026 22:25,16/08/2026,EMP10420,lpt-10420,MEDIUM,Investigating,2026-12-08 22:25:00,2026-08-16 00:00:00,-2758.4166666666665
EPA00007881,2026-09-04T07:41:01,04/09/2026 10:41,EMP11167,VDR-11167,HIGH,FP,2026-09-04 07:41:01,2026-04-09 10:41:00,-3549.0002777777777
EPA00003310,11/08/2026,2026-08-14 21:41:47,emp12163,,Major,OPEN,2026-11-08 00:00:00,2026-08-14 21:41:47,-2042.3036111111112
EPA00005055,2026-08-11T15:59:25,2026-08-10 00:59:25,EMP11132,WS-11132,MEDIUM,Resolved,2026-08-11 15:59:25,2026-08-10 00:59:25,-39.0
EPA00001776,10/08/2026 02:15,2026/08/14,EMP11935,VDR-11935,M,N,2026-10-08 02:15:00,2026-08-14 00:00:00,-1322.25
EPA00002717,2026-09-02 10:50:05,04/09/2026 01:50,EMP 12600,LPT-12600,Minor,OPEN,2026-09-02 10:50:05,2026-04-09 01:50:00,-3513.001388888889
EPA00000577,2026-08-04T07:22:54,2026-08-02 21:22:54,EMP10053,VDR-10053,High,NEW,2026-08-04 07:22:54,2026-08-02 21:22:54,-34.0
EPA00004202,2026-08-12 04:13:08,2026/08/12,EMP10848,VDR-10848,Moderate,FP,2026-08-12 04:13:08,2026-08-12 00:00:00,-4.2188888888888885
EPA00003275,28/08/2026 20:07,01/09/2026 00:07,emp_11915,WS-11915,Medium,False Positive,2026-08-28 20:07:00,2026-01-09 00:07:00,-5564.0
EPA00004318,2026-09-07T07:18:09,08/09/2026 06:18,EMP10633,VDR-10633,P4,Closed,2026-09-07 07:18:09,2026-08-09 06:18:00,-697.0025
EPA00001200,2026-09-02 10:34:27,04/09/2026 20:34,12636,LPT-12636,P3,Investigating,2026-09-02 10:34:27,2026-04-09 20:34:00,-3494.0075
EPA00005082,21/08/2026,19/08/2026,emp_12050,WS-12050,Minor,RESOLVED,2026-08-21 00:00:00,2026-08-19 00:00:00,-48.0
EPA00003480,2026/08/07,07/08/2026,EMP 10685,LPT-10685,Medium,Not Malicious,2026-08-07 00:00:00,2026-07-08 00:00:00,-720.0
EPA00002465,31/08/2026 02:27,02/09/2026 23:27,emp_12540,LPT-12540,Low,In Progress,2026-08-31 02:27:00,2026-02-09 23:27:00,-4851.0
EPA00006688,2026-08-25T19:31:34,2026/08/23,EMP10555,vdr-10555,H,R,2026-08-25 19:31:34,2026-08-23 00:00:00,-67.5261111111111
EPA00002996,31-Aug-2026 04:19:28,08-30-2026 08:19:28 AM,emp_12156,VDR-12156,MEDIUM,Open,2026-08-31 04:19:28,2026-08-30 08:19:28,-20.0
EPA00005156,27/08/2026 01:54,2026-08-26T22:54:20,EMP 11323,WS-11323.corp.local,High,O,2026-08-27 01:54:00,2026-08-26 22:54:20,-2.9944444444444445
EPA00002888,08-02-2026 07:07:30 PM,07/08/2026 15:07,emp12384,VDR-12384,P2,FALSE_POSITIVE,2026-08-02 19:07:30,2026-07-08 15:07:00,-604.0083333333333
EPA00003143,2026-08-03 07:51:06,2026-08-03 02:51:06,EMP11755,,MEDIUM,Open,2026-08-03 07:51:06,2026-08-03 02:51:06,-5.0
EPA00004304,09-03-2026 08:49:35 PM,02/09/2026,EMP10167,,Major,Unassigned,2026-09-03 20:49:35,2026-02-09 00:00:00,-4964.826388888889
EPA00004276,04-Sep-2026 21:05:36,07/09/2026 09:05,EMP12244,WS-12244,L,False Positive,2026-09-04 21:05:36,2026-07-09 09:05:00,-1380.01
EPA00005592,2026-09-03T20:09:06,04/09/2026 12:09,EMP12082,WS-12082,L,NEW,2026-09-03 20:09:06,2026-04-09 12:09:00,-3536.0016666666666
EPA00004308,09-01-2026 01:12:06 PM,04/09/2026,emp12225,VDR-12225.corp.local,M,N,2026-09-01 13:12:06,2026-04-09 00:00:00,-3493.201666666667
EPA00005984,2026-09-03 18:25:28,07/09/2026,EMP10336,WS-10336,Major,Investigating,2026-09-03 18:25:28,2026-07-09 00:00:00,-1362.4244444444444
