dataset,column,total_rows,missing_count,missing_percentage,non_missing_count
endpoint,assigned_to,8240,3138,38.08,5102
endpoint,resolved_timestamp,8240,2405,29.19,5835
endpoint,file_path,8240,1675,20.33,6565
endpoint,process_name,8240,1495,18.14,6745
endpoint,sha256,8240,1484,18.01,6756
endpoint,device_criticality,8240,1299,15.76,6941
endpoint,detected_timestamp,8240,1006,12.21,7234
endpoint,hostname,8240,503,6.1,7737
endpoint,alert_id,8240,0,0.0,8240
endpoint,user_id,8240,0,0.0,8240
endpoint,endpoint_product,8240,0,0.0,8240
endpoint,alert_name,8240,0,0.0,8240
endpoint,severity,8240,0,0.0,8240
endpoint,status,8240,0,0.0,8240
endpoint,description,8240,0,0.0,8240
firewall,rule_name,30600,6151,20.1,24449
firewall,geo_country,30600,5119,16.73,25481
firewall,session_id,30600,4602,15.04,25998
firewall,dst_port,30600,4079,13.33,26521
firewall,src_port,30600,3958,12.93,26642
firewall,bytes_received,30600,3654,11.94,26946
firewall,bytes_sent,30600,3615,11.81,26985
firewall,timestamp,30600,3598,11.76,27002
firewall,src_ip,30600,1833,5.99,28767
firewall,hostname,30600,1799,5.88,28801
firewall,dst_ip,30600,1772,5.79,28828
firewall,log_id,30600,0,0.0,30600
firewall,protocol,30600,0,0.0,30600
firewall,action,30600,0,0.0,30600
firewall,threat_flag,30600,0,0.0,30600
iam,session_id,20500,8677,42.33,11823
iam,department,20500,5758,28.09,14742
iam,failure_reason,20500,3621,17.66,16879
iam,geo_location,20500,1768,8.62,18732
iam,device_id,20500,1180,5.76,19320
iam,risk_score,20500,1062,5.18,19438
iam,event_id,20500,0,0.0,20500
iam,timestamp,20500,0,0.0,20500
iam,user_id,20500,0,0.0,20500
iam,username,20500,0,0.0,20500
iam,event_type,20500,0,0.0,20500
iam,auth_method,20500,0,0.0,20500
iam,source_ip,20500,0,0.0,20500
iam,hostname,20500,0,0.0,20500
iam,mfa_passed,20500,0,0.0,20500
identity,termination_date,3090,1825,59.06,1265
identity,manager_username,3090,654,21.17,2436
identity,device_id,3090,583,18.87,2507
identity,location,3090,574,18.58,2516
identity,hire_date,3090,337,10.91,2753
identity,hostname,3090,174,5.63,2916
identity,username,3090,125,4.05,2965
identity,user_id,3090,0,0.0,3090
identity,full_name,3090,0,0.0,3090
identity,department,3090,0,0.0,3090
identity,role,3090,0,0.0,3090
identity,status,3090,0,0.0,3090
