dataset,column,rows,dtype,missing_count,missing_percentage,unique_count
firewall,log_id,30600,str,0,0.0,30000
firewall,timestamp,30600,str,3598,11.76,21609
firewall,hostname,30600,str,1799,5.88,8157
firewall,src_ip,30600,str,1833,5.99,23509
firewall,dst_ip,30600,str,1772,5.79,23947
firewall,src_port,30600,float64,3958,12.93,1780
firewall,dst_port,30600,float64,4079,13.33,1753
firewall,protocol,30600,str,0,0.0,12
firewall,action,30600,str,0,0.0,13
firewall,bytes_sent,30600,str,3615,11.81,25917
firewall,bytes_received,30600,str,3654,11.94,25941
firewall,session_id,30600,str,4602,15.04,25240
firewall,threat_flag,30600,str,0,0.0,8
firewall,rule_name,30600,str,6151,20.1,8
firewall,geo_country,30600,str,5119,16.73,10
iam,event_id,20500,str,0,0.0,20000
iam,timestamp,20500,str,0,0.0,14420
iam,user_id,20500,str,0,0.0,8785
iam,username,20500,str,0,0.0,6245
iam,department,20500,str,5758,28.09,50
iam,event_type,20500,str,0,0.0,22
iam,auth_method,20500,str,0,0.0,12
iam,source_ip,20500,str,0,0.0,15846
iam,hostname,20500,str,0,0.0,6304
iam,device_id,20500,str,1180,5.76,2914
iam,session_id,20500,str,8677,42.33,11452
iam,mfa_passed,20500,object,0,0.0,8
iam,failure_reason,20500,str,3621,17.66,12
iam,risk_score,20500,object,1062,5.18,468
iam,geo_location,20500,str,1768,8.62,11
endpoint,alert_id,8240,str,0,0.0,8000
endpoint,detected_timestamp,8240,str,1006,12.21,5811
endpoint,resolved_timestamp,8240,str,2405,29.19,4716
endpoint,hostname,8240,str,503,6.1,4345
endpoint,user_id,8240,str,0,0.0,5511
endpoint,endpoint_product,8240,str,0,0.0,9
endpoint,alert_name,8240,str,0,0.0,15
endpoint,severity,8240,str,0,0.0,20
endpoint,status,8240,str,0,0.0,21
endpoint,description,8240,str,0,0.0,10
endpoint,file_path,8240,str,1675,20.33,8
endpoint,process_name,8240,str,1495,18.14,9
endpoint,sha256,8240,str,1484,18.01,6562
endpoint,assigned_to,8240,str,3138,38.08,5
endpoint,device_criticality,8240,str,1299,15.76,11
identity,user_id,3090,str,0,0.0,3000
identity,username,3090,str,125,4.05,2876
identity,full_name,3090,str,0,0.0,2988
identity,department,3090,str,0,0.0,50
identity,role,3090,str,0,0.0,10
identity,location,3090,str,574,18.58,26
identity,hostname,3090,str,174,5.63,2829
identity,device_id,3090,str,583,18.87,2421
identity,status,3090,str,0,0.0,22
identity,hire_date,3090,str,337,10.91,2645
identity,termination_date,3090,str,1825,59.06,368
identity,manager_username,3090,str,654,21.17,1165
