raw_value,category,numeric_value
78/100,numeric_fraction,78.0
78,numeric,78.0
High,categorical_risk,
78,numeric,78.0
32,numeric,32.0
-3,numeric,-3.0
15,numeric,15.0
94,numeric,94.0
56,numeric,56.0
91,numeric,91.0
142,numeric,142.0
48,numeric,48.0
208,numeric,208.0
79,numeric,79.0
45,numeric,45.0
46/100,numeric_fraction,46.0
75,numeric,75.0
46,numeric,46.0
99/100,numeric_fraction,99.0
,missing,
90,numeric,90.0
23,numeric,23.0
29,numeric,29.0
232,numeric,232.0
61,numeric,61.0
3,numeric,3.0
78,numeric,78.0
93,numeric,93.0
92/100,numeric_fraction,92.0
81,numeric,81.0
11,numeric,11.0
64,numeric,64.0
94,numeric,94.0
52,numeric,52.0
173,numeric,173.0
102,numeric,102.0
24,numeric,24.0
78,numeric,78.0
-4,numeric,-4.0
29,numeric,29.0
60,numeric,60.0
17,numeric,17.0
55/100,numeric_fraction,55.0
77,numeric,77.0
72,numeric,72.0
HIGH,categorical_risk,
47,numeric,47.0
14,numeric,14.0
99,numeric,99.0
6,numeric,6.0
50,numeric,50.0
70,numeric,70.0
19,numeric,19.0
100,numeric,100.0
130,numeric,130.0
48,numeric,48.0
90,numeric,90.0
-8,numeric,-8.0
213,numeric,213.0
High,categorical_risk,
9,numeric,9.0
50,numeric,50.0
0,numeric,0.0
15,numeric,15.0
9,numeric,9.0
79,numeric,79.0
46,numeric,46.0
92,numeric,92.0
63,numeric,63.0
82/100,numeric_fraction,82.0
-2,numeric,-2.0
13,numeric,13.0
243,numeric,243.0
81,numeric,81.0
90,numeric,90.0
40,numeric,40.0
Low,categorical_risk,
38,numeric,38.0
,missing,
10,numeric,10.0
98,numeric,98.0
59,numeric,59.0
10,numeric,10.0
33,numeric,33.0
50,numeric,50.0
17,numeric,17.0
98,numeric,98.0
22,numeric,22.0
74,numeric,74.0
-4,numeric,-4.0
81,numeric,81.0
1,numeric,1.0
80,numeric,80.0
173,numeric,173.0
13,numeric,13.0
73,numeric,73.0
