dataset,column,value,count
iam,mfa_passed,1,7911
iam,mfa_passed,False,4933
iam,mfa_passed,True,1860
iam,mfa_passed,Y,1494
iam,mfa_passed,yes,1300
iam,mfa_passed,False,1248
iam,mfa_passed,N,980
iam,mfa_passed,no,774
iam,risk_score,None,1062
iam,risk_score,High,301
iam,risk_score,Medium,276
iam,risk_score,HIGH,274
iam,risk_score,medium,274
iam,risk_score,Low,259
iam,risk_score,84,143
iam,risk_score,78,139
iam,risk_score,72,135
iam,risk_score,15,135
iam,risk_score,2,132
iam,risk_score,65,132
iam,risk_score,16,131
iam,risk_score,33,128
iam,risk_score,64,127
iam,risk_score,42,127
iam,risk_score,68,126
iam,risk_score,55,126
iam,risk_score,47,124
iam,risk_score,98,124
iam,risk_score,80,124
iam,risk_score,96,124
iam,risk_score,83,123
iam,risk_score,81,122
iam,risk_score,-2,121
iam,risk_score,59,121
iam,risk_score,46,120
iam,risk_score,90,120
iam,risk_score,6,120
iam,risk_score,38,119
iam,risk_score,34,119
iam,risk_score,82,119
iam,risk_score,62,119
iam,risk_score,60,117
iam,risk_score,7,117
iam,risk_score,10,116
iam,risk_score,73,116
iam,risk_score,95,116
iam,risk_score,86,116
iam,risk_score,24,115
iam,risk_score,50,115
iam,risk_score,0,115
iam,risk_score,63,115
iam,risk_score,-4,114
iam,risk_score,92,114
iam,risk_score,51,114
iam,risk_score,91,113
iam,risk_score,5,113
iam,risk_score,31,113
iam,risk_score,11,112
